public virtual ListSpeechSynthesisTasksResponse ListSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSpeechSynthesisTasksRequestMarshaller.Instance;options.ResponseUnmarshaller = ListSpeechSynthesisTasksResponseUnmarshaller.Instance;return Invoke<ListSpeechSynthesisTasksResponse>(request, options);} ||| public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {request = beforeClientExecution(request);return executeListSpeechSynthesisTasks(request);}
public SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredentialRequest(): base("Domain-intl", "2017-12-18", "SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredential", "domain", "openAPI"){Method = MethodType.POST;} ||| public SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredentialRequest() {super("Domain", "2018-01-29", "SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredential");setMethod(MethodType.POST);}
public virtual DeleteDhcpOptionsResponse DeleteDhcpOptions(DeleteDhcpOptionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDhcpOptionsRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDhcpOptionsResponseUnmarshaller.Instance;return Invoke<DeleteDhcpOptionsResponse>(request, options);} ||| public DeleteDhcpOptionsResult deleteDhcpOptions(DeleteDhcpOptionsRequest request) {request = beforeClientExecution(request);return executeDeleteDhcpOptions(request);}
public String GetSheetLastNameByExternSheet(int externSheetIndex){return _iBook.FindSheetLastNameFromExternSheet(externSheetIndex);} ||| public String getSheetLastNameByExternSheet(int externSheetIndex) {return _iBook.findSheetLastNameFromExternSheet(externSheetIndex);}
public InMemorySorter(IComparer<BytesRef> comparer){this.comparer = comparer;} ||| public InMemorySorter(Comparator<BytesRef> comparator) {this.comparator = comparator;}
public virtual bool IsSymbolic(){return true;} ||| public boolean isSymbolic() {return true;}
public static ValueEval ChooseSingleElementFromArea(AreaEval ae,int srcCellRow, int srcCellCol){ValueEval result = ChooseSingleElementFromAreaInternal(ae, srcCellRow, srcCellCol);if (result is ErrorEval){throw new EvaluationException((ErrorEval)result);}return result;} ||| public static ValueEval chooseSingleElementFromArea(AreaEval ae,int srcCellRow, int srcCellCol) throws EvaluationException {ValueEval result = chooseSingleElementFromAreaInternal(ae, srcCellRow, srcCellCol);if (result instanceof ErrorEval) {throw new EvaluationException((ErrorEval) result);}return result;}
public int FreeBlocks(int num){Debug.Assert(num >= 0, "free blocks must be >= 0 but was: " + num);int stop;int count;if (num > freeBlocks){stop = 0;count = freeBlocks;}else{stop = freeBlocks - num;count = num;}while (freeBlocks > stop){freeByteBlocks[--freeBlocks] = null;}bytesUsed.AddAndGet(-count * m_blockSize);Debug.Assert(bytesUsed.Get() >= 0);return count;} ||| public int freeBlocks(int num) {assert num >= 0 : "free blocks must be >= 0 but was: "+ num;final int stop;final int count;if (num > freeBlocks) {stop = 0;count = freeBlocks;} else {stop = freeBlocks - num;count = num;}while (freeBlocks > stop) {freeByteBlocks[--freeBlocks] = null;}bytesUsed.addAndGet(-count*blockSize);assert bytesUsed.get() >= 0;return count;}
public static string HtmlEncode(string plainText){if (string.IsNullOrEmpty(plainText)){return string.Empty;}var result = new StringBuilder(plainText.Length);for (int index = 0; index < plainText.Length; index++){char ch = plainText[index];switch (ch){case '"':result.Append("&quot;");break;case '&':result.Append("&amp;");break;case '<':result.Append("&lt;");break;case '>':result.Append("&gt;");break;case '\'':result.Append("&#x27;");break;case '/':result.Append("&#x2F;");break;default:if (ch < 128){result.Append(ch);}else{result.Append("&#").Append((int)ch).Append(";");}break;}}return result.ToString();} ||| public final static String htmlEncode(String plainText){if (plainText == null || plainText.length() == 0){return "";}StringBuilder result = new StringBuilder(plainText.length());for (int index=0; index<plainText.length(); index++){char ch = plainText.charAt(index);switch (ch) {case '"':result.append("&quot;");break;case '&':result.append("&amp;");break;case '<':result.append("&lt;");break;case '>':result.append("&gt;");break;case '\'':result.append("&#x27;");break;case '/':result.append("&#x2F;");break;default:result.append(ch);}}return result.toString();}
public virtual bool IsReuseDeltas(){return reuseDeltas;} ||| public boolean isReuseDeltas() {return reuseDeltas;}
public static int HeaderLength(string codec){return 9 + codec.Length;} ||| public static int headerLength(String codec) {return 9+codec.length();}
public virtual StartCelebrityRecognitionResponse StartCelebrityRecognition(StartCelebrityRecognitionRequest request){var options = new InvokeOptions();options.RequestMarshaller = StartCelebrityRecognitionRequestMarshaller.Instance;options.ResponseUnmarshaller = StartCelebrityRecognitionResponseUnmarshaller.Instance;return Invoke<StartCelebrityRecognitionResponse>(request, options);} ||| public StartCelebrityRecognitionResult startCelebrityRecognition(StartCelebrityRecognitionRequest request) {request = beforeClientExecution(request);return executeStartCelebrityRecognition(request);}
public override void write(byte[] buffer, int offset, int length){lock (this){checkNotClosed();if (buffer == null){throw new System.ArgumentNullException("buffer == null");}byte[] internalBuffer = buf;if (length >= internalBuffer.Length){flushInternal();@out.write(buffer, offset, length);return;}java.util.Arrays.checkOffsetAndCount(buffer.Length, offset, length);if (length > (internalBuffer.Length - count)){flushInternal();}System.Array.Copy(buffer, offset, internalBuffer, count, length);count += length;}} ||| public synchronized void write(byte[] buffer, int offset, int length) throws IOException {checkNotClosed();if (buffer == null) {throw new NullPointerException("buffer == null");}byte[] internalBuffer = buf;if (length >= internalBuffer.length) {flushInternal();out.write(buffer, offset, length);return;}Arrays.checkOffsetAndCount(buffer.length, offset, length);if (length > (internalBuffer.length - count)) {flushInternal();}System.arraycopy(buffer, offset, internalBuffer, count, length);count += length;}
public int ReadRecordSID(){return _lei.ReadUShort();} ||| public int readRecordSID() {return _lei.readUShort();}
public virtual ListProfileTimesResponse ListProfileTimes(ListProfileTimesRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListProfileTimesRequestMarshaller.Instance;options.ResponseUnmarshaller = ListProfileTimesResponseUnmarshaller.Instance;return Invoke<ListProfileTimesResponse>(request, options);} ||| public ListProfileTimesResult listProfileTimes(ListProfileTimesRequest request) {request = beforeClientExecution(request);return executeListProfileTimes(request);}
public override TreeFilter Clone(){TreeFilter[] s = new TreeFilter[subfilters.Length];for (int i = 0; i < s.Length; i++){s[i] = subfilters[i].Clone();}return new OrTreeFilter.List(s);} ||| public RevFilter clone() {final RevFilter[] s = new RevFilter[subfilters.length];for (int i = 0; i < s.length; i++)s[i] = subfilters[i].clone();return new List(s);}
public virtual ModifyClusterResponse ModifyCluster(ModifyClusterRequest request){var options = new InvokeOptions();options.RequestMarshaller = ModifyClusterRequestMarshaller.Instance;options.ResponseUnmarshaller = ModifyClusterResponseUnmarshaller.Instance;return Invoke<ModifyClusterResponse>(request, options);} ||| public Cluster modifyCluster(ModifyClusterRequest request) {request = beforeClientExecution(request);return executeModifyCluster(request);}
public virtual GetRouteResponsesResponse GetRouteResponses(GetRouteResponsesRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetRouteResponsesRequestMarshaller.Instance;options.ResponseUnmarshaller = GetRouteResponsesResponseUnmarshaller.Instance;return Invoke<GetRouteResponsesResponse>(request, options);} ||| public GetRouteResponsesResult getRouteResponses(GetRouteResponsesRequest request) {request = beforeClientExecution(request);return executeGetRouteResponses(request);}
public virtual IQueryMaker GetQueryMaker(ReadTask readTask){lock (this){Type readTaskClass = readTask.GetType();IQueryMaker qm;if (!readTaskQueryMaker.TryGetValue(readTaskClass, out qm) || qm == null){try{qm = (IQueryMaker)Activator.CreateInstance(qmkrClass);qm.SetConfig(config);}catch (Exception e){throw new Exception(e.ToString(), e);}readTaskQueryMaker[readTaskClass] = qm;}return qm;}} ||| synchronized public QueryMaker getQueryMaker(ReadTask readTask) {Class<? extends ReadTask> readTaskClass = readTask.getClass();QueryMaker qm = readTaskQueryMaker.get(readTaskClass);if (qm == null) {try {qm = qmkrClass.getConstructor().newInstance();qm.setConfig(config);} catch (Exception e) {throw new RuntimeException(e);}readTaskQueryMaker.put(readTaskClass,qm);}return qm;}
public virtual bool PromptYesNo(string msg){CredentialItem.YesNoType v = new CredentialItem.YesNoType(msg);return provider.Get(uri, v) && v.GetValue();} ||| public boolean promptYesNo(String msg) {CredentialItem.YesNoType v = new CredentialItem.YesNoType(msg);return provider.get(uri, v) && v.getValue();}
public string Utf8ToString(){CharsRef @ref = new CharsRef(Length);UnicodeUtil.UTF8toUTF16(bytes, Offset, Length, @ref);return @ref.ToString();} ||| public String utf8ToString() {final char[] ref = new char[length];final int len = UnicodeUtil.UTF8toUTF16(bytes, offset, length, ref);return new String(ref, 0, len);}
public virtual ListCandidatesForAutoMLJobResponse ListCandidatesForAutoMLJob(ListCandidatesForAutoMLJobRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListCandidatesForAutoMLJobRequestMarshaller.Instance;options.ResponseUnmarshaller = ListCandidatesForAutoMLJobResponseUnmarshaller.Instance;return Invoke<ListCandidatesForAutoMLJobResponse>(request, options);} ||| public ListCandidatesForAutoMLJobResult listCandidatesForAutoMLJob(ListCandidatesForAutoMLJobRequest request) {request = beforeClientExecution(request);return executeListCandidatesForAutoMLJob(request);}
public String ToFormulaString(IFormulaRenderingWorkbook book){return book.ResolveNameXText(this);} ||| public String toFormulaString(FormulaRenderingWorkbook book) {return book.resolveNameXText(this);}
public virtual UpdateSkillGroupResponse UpdateSkillGroup(UpdateSkillGroupRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateSkillGroupRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateSkillGroupResponseUnmarshaller.Instance;return Invoke<UpdateSkillGroupResponse>(request, options);} ||| public UpdateSkillGroupResult updateSkillGroup(UpdateSkillGroupRequest request) {request = beforeClientExecution(request);return executeUpdateSkillGroup(request);}
public string GetValue(){return RawParseUtils.Decode(enc, buffer, valStart, valEnd);} ||| public String getValue() {return RawParseUtils.decode(enc, buffer, valStart, valEnd);}
public virtual ListAssociatedFleetsResponse ListAssociatedFleets(ListAssociatedFleetsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListAssociatedFleetsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListAssociatedFleetsResponseUnmarshaller.Instance;return Invoke<ListAssociatedFleetsResponse>(request, options);} ||| public ListAssociatedFleetsResult listAssociatedFleets(ListAssociatedFleetsRequest request) {request = beforeClientExecution(request);return executeListAssociatedFleets(request);}
public virtual void RemoveLastChild(){if (children != null){children.RemoveAt(children.Count - 1);}} ||| public void removeLastChild() {if ( children!=null ) {children.remove(children.size()-1);}}
public override void Decode(byte[] blocks, int blocksOffset, int[] values, int valuesOffset, int iterations){for (int i = 0; i < iterations; ++i){int byte0 = blocks[blocksOffset++] & 0xFF;int byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 6) | ((int)((uint)byte1 >> 2));int byte2 = blocks[blocksOffset++] & 0xFF;int byte3 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte1 & 3) << 12) | (byte2 << 4) | ((int)((uint)byte3 >> 4));int byte4 = blocks[blocksOffset++] & 0xFF;int byte5 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte3 & 15) << 10) | (byte4 << 2) | ((int)((uint)byte5 >> 6));int byte6 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte5 & 63) << 8) | byte6;}} ||| public void decode(byte[] blocks, int blocksOffset, long[] values, int valuesOffset, int iterations) {for (int i = 0; i < iterations; ++i) {final long byte0 = blocks[blocksOffset++] & 0xFF;final long byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 6) | (byte1 >>> 2);final long byte2 = blocks[blocksOffset++] & 0xFF;final long byte3 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte1 & 3) << 12) | (byte2 << 4) | (byte3 >>> 4);final long byte4 = blocks[blocksOffset++] & 0xFF;final long byte5 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte3 & 15) << 10) | (byte4 << 2) | (byte5 >>> 6);final long byte6 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte5 & 63) << 8) | byte6;}}
public string DescribeParams(){StringBuilder sb = new StringBuilder();sb.Append("\t").Append("maxQueryTerms  : ").Append(MaxQueryTerms).Append("\n");sb.Append("\t").Append("minWordLen     : ").Append(MinWordLen).Append("\n");sb.Append("\t").Append("maxWordLen     : ").Append(MaxWordLen).Append("\n");sb.Append("\t").Append("fieldNames     : ");string delim = "";foreach (string fieldName in FieldNames){sb.Append(delim).Append(fieldName);delim = ", ";}sb.Append("\n");sb.Append("\t").Append("boost          : ").Append(ApplyBoost).Append("\n");sb.Append("\t").Append("minTermFreq    : ").Append(MinTermFreq).Append("\n");sb.Append("\t").Append("minDocFreq     : ").Append(MinDocFreq).Append("\n");return sb.ToString();} ||| public String describeParams() {StringBuilder sb = new StringBuilder();sb.append("\t").append("maxQueryTerms  : ").append(maxQueryTerms).append("\n");sb.append("\t").append("minWordLen     : ").append(minWordLen).append("\n");sb.append("\t").append("maxWordLen     : ").append(maxWordLen).append("\n");sb.append("\t").append("fieldNames     : ");String delim = "";for (String fieldName : fieldNames) {sb.append(delim).append(fieldName);delim = ", ";}sb.append("\n");sb.append("\t").append("boost          : ").append(boost).append("\n");sb.append("\t").append("minTermFreq    : ").append(minTermFreq).append("\n");sb.append("\t").append("minDocFreq     : ").append(minDocFreq).append("\n");return sb.toString();}
public virtual RunScheduledInstancesResponse RunScheduledInstances(RunScheduledInstancesRequest request){var options = new InvokeOptions();options.RequestMarshaller = RunScheduledInstancesRequestMarshaller.Instance;options.ResponseUnmarshaller = RunScheduledInstancesResponseUnmarshaller.Instance;return Invoke<RunScheduledInstancesResponse>(request, options);} ||| public RunScheduledInstancesResult runScheduledInstances(RunScheduledInstancesRequest request) {request = beforeClientExecution(request);return executeRunScheduledInstances(request);}
public static bool IsValidExcelDate(double value){return value > -Double.Epsilon;} ||| public static boolean isValidExcelDate(double value){return (value > -Double.MIN_VALUE);}
public virtual NGit.Api.CreateBranchCommand SetForce(bool force){CheckCallable();this.force = force;return this;} ||| public CreateBranchCommand setForce(boolean force) {checkCallable();this.force = force;return this;}
public AbstractEscherHolderRecord(RecordInputStream in1){escherRecords = new List<EscherRecord>();if (!DESERIALISE){rawDataContainer.Concatenate(in1.ReadRemainder());}else{byte[] data = in1.ReadAllContinuedRemainder();ConvertToEscherRecords(0, data.Length, data);}} ||| public AbstractEscherHolderRecord(RecordInputStream in) {if (! DESERIALISE ) {rawDataContainer.concatenate(in.readRemainder());} else {byte[] data = in.readAllContinuedRemainder();convertToEscherRecords( 0, data.length, data );}}
public override int Next(int n){currentSentence += n;if (n < 0){if (text.Index == text.EndIndex){++currentSentence;}if (currentSentence < 0){currentSentence = 0;text.SetIndex(text.BeginIndex);return Done;}else{text.SetIndex(sentenceStarts[currentSentence]);}}else if (n > 0){if (currentSentence >= sentenceStarts.Length){currentSentence = sentenceStarts.Length - 1;text.SetIndex(text.EndIndex);return Done;}else{text.SetIndex(sentenceStarts[currentSentence]);}}return Current;} ||| public int next(int n) {currentSentence += n;if (n < 0) {if (text.getIndex() == text.getEndIndex()) {++currentSentence;}if (currentSentence < 0) {currentSentence = 0;text.setIndex(text.getBeginIndex());return DONE;} else {text.setIndex(sentenceStarts[currentSentence]);}} else if (n > 0) {if (currentSentence >= sentenceStarts.length) {currentSentence = sentenceStarts.length - 1;text.setIndex(text.getEndIndex());return DONE;} else {text.setIndex(sentenceStarts[currentSentence]);}}return current();}
public override bool Equals(object obj){if (this == obj){return true;}if (obj == null){return false;}if (this.GetType() != obj.GetType()){return false;}RunAutomaton other = (RunAutomaton)obj;if (m_initial != other.m_initial){return false;}if (_maxInterval != other._maxInterval){return false;}if (_size != other._size){return false;}if (!Arrays.Equals(_points, other._points)){return false;}if (!Arrays.Equals(m_accept, other.m_accept)){return false;}if (!Arrays.Equals(m_transitions, other.m_transitions)){return false;}return true;} ||| public boolean equals(Object obj) {if (this == obj) return true;if (obj == null) return false;if (getClass() != obj.getClass()) return false;RunAutomaton other = (RunAutomaton) obj;if (alphabetSize != other.alphabetSize) return false;if (size != other.size) return false;if (!Arrays.equals(points, other.points)) return false;if (!accept.equals(other.accept)) return false;if (!Arrays.equals(transitions, other.transitions)) return false;return true;}
public virtual void SetOffset(long offset){this.offset = offset;} ||| public void setOffset(long offset) {this.offset = offset;}
public virtual DescribeKeyPairsResponse DescribeKeyPairs(){return DescribeKeyPairs(new DescribeKeyPairsRequest());} ||| public DescribeKeyPairsResult describeKeyPairs() {return describeKeyPairs(new DescribeKeyPairsRequest());}
public virtual IParseTree Get(string label){IList<IParseTree> parseTrees = labels.Get(label);if (parseTrees == null || parseTrees.Count == 0){return null;}return parseTrees[parseTrees.Count - 1];} ||| public ParseTree get(String label) {List<ParseTree> parseTrees = labels.get(label);if ( parseTrees==null || parseTrees.size()==0 ) {return null;}return parseTrees.get( parseTrees.size()-1 ); }
public virtual ListRecordsResponse ListRecords(ListRecordsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListRecordsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListRecordsResponseUnmarshaller.Instance;return Invoke<ListRecordsResponse>(request, options);} ||| public ListRecordsResult listRecords(ListRecordsRequest request) {request = beforeClientExecution(request);return executeListRecords(request);}
public virtual DetectStackResourceDriftResponse DetectStackResourceDrift(DetectStackResourceDriftRequest request){var options = new InvokeOptions();options.RequestMarshaller = DetectStackResourceDriftRequestMarshaller.Instance;options.ResponseUnmarshaller = DetectStackResourceDriftResponseUnmarshaller.Instance;return Invoke<DetectStackResourceDriftResponse>(request, options);} ||| public DetectStackResourceDriftResult detectStackResourceDrift(DetectStackResourceDriftRequest request) {request = beforeClientExecution(request);return executeDetectStackResourceDrift(request);}
public string EncodeText(string originalText){return HtmlEncode(originalText);} ||| public String encodeText(String originalText){return htmlEncode(originalText);}
public override ICollection<IParseTree> Evaluate(IParseTree t){if (invert){return new List<IParseTree>();}return Trees.Descendants(t);} ||| public Collection<ParseTree> evaluate(ParseTree t) {if ( invert ) return new ArrayList<ParseTree>(); return Trees.getDescendants(t);}
public virtual DeleteUsagePlanKeyResponse DeleteUsagePlanKey(DeleteUsagePlanKeyRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteUsagePlanKeyRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteUsagePlanKeyResponseUnmarshaller.Instance;return Invoke<DeleteUsagePlanKeyResponse>(request, options);} ||| public DeleteUsagePlanKeyResult deleteUsagePlanKey(DeleteUsagePlanKeyRequest request) {request = beforeClientExecution(request);return executeDeleteUsagePlanKey(request);}
public virtual string GetLocalName(){return localName;} ||| public String getLocalName() {return localName;}
public virtual DeleteDocumentResponse DeleteDocument(DeleteDocumentRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDocumentRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDocumentResponseUnmarshaller.Instance;return Invoke<DeleteDocumentResponse>(request, options);} ||| public DeleteDocumentResult deleteDocument(DeleteDocumentRequest request) {request = beforeClientExecution(request);return executeDeleteDocument(request);}
public int GetExternalSheetIndex(String sheetName){int sheetIndex = _uBook.GetSheetIndex(sheetName);return _iBook.CheckExternSheet(sheetIndex);} ||| public int getExternalSheetIndex(String sheetName) {int sheetIndex = _uBook.getSheetIndex(sheetName);return _iBook.checkExternSheet(sheetIndex);}
public IdentityEncoder(Encoding charset){this.m_charset = charset;} ||| public IdentityEncoder(Charset charset) {this.charset = charset;}
public static SupBookRecord CreateInternalReferences(short numberOfSheets){return new SupBookRecord(false, numberOfSheets);} ||| public static SupBookRecord createInternalReferences(short numberOfSheets) {return new SupBookRecord(false, numberOfSheets);}
public virtual CreateDBInstanceReadReplicaResponse CreateDBInstanceReadReplica(CreateDBInstanceReadReplicaRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateDBInstanceReadReplicaRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateDBInstanceReadReplicaResponseUnmarshaller.Instance;return Invoke<CreateDBInstanceReadReplicaResponse>(request, options);} ||| public DBInstance createDBInstanceReadReplica(CreateDBInstanceReadReplicaRequest request) {request = beforeClientExecution(request);return executeCreateDBInstanceReadReplica(request);}
public virtual DescribePartnerEventSourceResponse DescribePartnerEventSource(DescribePartnerEventSourceRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribePartnerEventSourceRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribePartnerEventSourceResponseUnmarshaller.Instance;return Invoke<DescribePartnerEventSourceResponse>(request, options);} ||| public DescribePartnerEventSourceResult describePartnerEventSource(DescribePartnerEventSourceRequest request) {request = beforeClientExecution(request);return executeDescribePartnerEventSource(request);}
public virtual EnterStandbyResponse EnterStandby(EnterStandbyRequest request){var options = new InvokeOptions();options.RequestMarshaller = EnterStandbyRequestMarshaller.Instance;options.ResponseUnmarshaller = EnterStandbyResponseUnmarshaller.Instance;return Invoke<EnterStandbyResponse>(request, options);} ||| public EnterStandbyResult enterStandby(EnterStandbyRequest request) {request = beforeClientExecution(request);return executeEnterStandby(request);}
public virtual ParseException GenerateParseException(){jj_expentries.Clear();bool[] la1tokens = new bool[33];if (jj_kind >= 0){la1tokens[jj_kind] = true;jj_kind = -1;}for (int i = 0; i < 21; i++){if (jj_la1[i] == jj_gen){for (int j = 0; j < 32; j++){if ((jj_la1_0[i] & (1 << j)) != 0){la1tokens[j] = true;}if ((jj_la1_1[i] & (1 << j)) != 0){la1tokens[32 + j] = true;}}}}for (int i = 0; i < 33; i++){if (la1tokens[i]){jj_expentry = new int[1];jj_expentry[0] = i;jj_expentries.Add(jj_expentry);}}jj_endpos = 0;Jj_rescan_token();Jj_add_error_token(0, 0);int[][] exptokseq = new int[jj_expentries.Count][];for (int i = 0; i < jj_expentries.Count; i++){exptokseq[i] = jj_expentries[i];}return new ParseException(Token, exptokseq, QueryParserConstants.TokenImage);} ||| public ParseException generateParseException() {jj_expentries.clear();boolean[] la1tokens = new boolean[24];if (jj_kind >= 0) {la1tokens[jj_kind] = true;jj_kind = -1;}for (int i = 0; i < 10; i++) {if (jj_la1[i] == jj_gen) {for (int j = 0; j < 32; j++) {if ((jj_la1_0[i] & (1<<j)) != 0) {la1tokens[j] = true;}}}}for (int i = 0; i < 24; i++) {if (la1tokens[i]) {jj_expentry = new int[1];jj_expentry[0] = i;jj_expentries.add(jj_expentry);}}jj_endpos = 0;jj_rescan_token();jj_add_error_token(0, 0);int[][] exptokseq = new int[jj_expentries.size()][];for (int i = 0; i < jj_expentries.size(); i++) {exptokseq[i] = jj_expentries.get(i);}return new ParseException(token, exptokseq, tokenImage);}
public CreateCloudFrontOriginAccessIdentityRequest(CloudFrontOriginAccessIdentityConfig cloudFrontOriginAccessIdentityConfig){_cloudFrontOriginAccessIdentityConfig = cloudFrontOriginAccessIdentityConfig;} ||| public CreateCloudFrontOriginAccessIdentityRequest(CloudFrontOriginAccessIdentityConfig cloudFrontOriginAccessIdentityConfig) {setCloudFrontOriginAccessIdentityConfig(cloudFrontOriginAccessIdentityConfig);}
public virtual ResetFpgaImageAttributeResponse ResetFpgaImageAttribute(ResetFpgaImageAttributeRequest request){var options = new InvokeOptions();options.RequestMarshaller = ResetFpgaImageAttributeRequestMarshaller.Instance;options.ResponseUnmarshaller = ResetFpgaImageAttributeResponseUnmarshaller.Instance;return Invoke<ResetFpgaImageAttributeResponse>(request, options);} ||| public ResetFpgaImageAttributeResult resetFpgaImageAttribute(ResetFpgaImageAttributeRequest request) {request = beforeClientExecution(request);return executeResetFpgaImageAttribute(request);}
public void Serialize(ContinuableRecordOutput out1){out1.WriteInt(_numStrings);out1.WriteInt(_numUniqueStrings);for (int k = 0; k < strings.Size; k++){if (k % ExtSSTRecord.DEFAULT_BUCKET_SIZE == 0){int rOff = out1.TotalSize;int index = k / ExtSSTRecord.DEFAULT_BUCKET_SIZE;if (index < ExtSSTRecord.MAX_BUCKETS){bucketAbsoluteOffsets[index] = rOff;bucketRelativeOffsets[index] = rOff;}}UnicodeString s = GetUnicodeString(k);s.Serialize(out1);}} ||| public void serialize(ContinuableRecordOutput out) {out.writeInt(_numStrings);out.writeInt(_numUniqueStrings);for ( int k = 0; k < strings.size(); k++ ){if (k % ExtSSTRecord.DEFAULT_BUCKET_SIZE == 0){int rOff = out.getTotalSize();int index = k/ExtSSTRecord.DEFAULT_BUCKET_SIZE;if (index < ExtSSTRecord.MAX_BUCKETS) {bucketAbsoluteOffsets[index] = rOff;bucketRelativeOffsets[index] = rOff;}}UnicodeString s = getUnicodeString(k);s.serialize(out);}}
public virtual DeleteGroupMembershipResponse DeleteGroupMembership(DeleteGroupMembershipRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteGroupMembershipRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteGroupMembershipResponseUnmarshaller.Instance;return Invoke<DeleteGroupMembershipResponse>(request, options);} ||| public DeleteGroupMembershipResult deleteGroupMembership(DeleteGroupMembershipRequest request) {request = beforeClientExecution(request);return executeDeleteGroupMembership(request);}
public virtual GetHostedZoneCountResponse GetHostedZoneCount(){return GetHostedZoneCount(new GetHostedZoneCountRequest());} ||| public GetHostedZoneCountResult getHostedZoneCount() {return getHostedZoneCount(new GetHostedZoneCountRequest());}
public NameXPtg GetNameXPtg(String name, int sheetRefIndex){for (int i = 0; i < _externalBookBlocks.Length; i++){int definedNameIndex = _externalBookBlocks[i].GetIndexOfName(name);if (definedNameIndex < 0){continue;}int thisSheetRefIndex = FindRefIndexFromExtBookIndex(i);if (thisSheetRefIndex >= 0){if (sheetRefIndex == -1 || thisSheetRefIndex == sheetRefIndex){return new NameXPtg(thisSheetRefIndex, definedNameIndex);}}}return null;} ||| public NameXPtg getNameXPtg(String name, int sheetRefIndex) {for (int i = 0; i < _externalBookBlocks.length; i++) {int definedNameIndex = _externalBookBlocks[i].getIndexOfName(name);if (definedNameIndex < 0) {continue;}int thisSheetRefIndex = findRefIndexFromExtBookIndex(i);if (thisSheetRefIndex >= 0) {if (sheetRefIndex == -1 || thisSheetRefIndex == sheetRefIndex) {return new NameXPtg(thisSheetRefIndex, definedNameIndex);}}}return null;}
public virtual E pop(){return removeFirstImpl();} ||| public E pop() {return removeFirstImpl();}
public void set(ET @object){if (expectedModCount == list.modCount){if (lastLink != null){lastLink.data = @object;}else{throw new System.InvalidOperationException();}}else{throw new java.util.ConcurrentModificationException();}} ||| public void set(ET object) {if (expectedModCount == list.modCount) {if (lastLink != null) {lastLink.data = object;} else {throw new IllegalStateException();}} else {throw new ConcurrentModificationException();}}
public ElisionFilterFactory(IDictionary<string, string> args) : base(args){articlesFile = Get(args, "articles");ignoreCase = GetBoolean(args, "ignoreCase", false);if (args.Count > 0){throw new System.ArgumentException("Unknown parameters: " + args);}} ||| public ElisionFilterFactory(Map<String,String> args) {super(args);articlesFile = get(args, "articles");ignoreCase = getBoolean(args, "ignoreCase", false);if (!args.isEmpty()) {throw new IllegalArgumentException("Unknown parameters: " + args);}}
public override int[] Grow(){int[] ord = base.Grow();if (start.Length < ord.Length){start = ArrayUtil.Grow(start, ord.Length);end = ArrayUtil.Grow(end, ord.Length);freq = ArrayUtil.Grow(freq, ord.Length);}Debug.Assert(start.Length >= ord.Length);Debug.Assert(end.Length >= ord.Length);Debug.Assert(freq.Length >= ord.Length);return ord;} ||| public int[] grow() {final int[] ord = super.grow();if (start.length < ord.length) {start = ArrayUtil.grow(start, ord.length);end = ArrayUtil.grow(end, ord.length);freq = ArrayUtil.grow(freq, ord.length);}assert start.length >= ord.length;assert end.length >= ord.length;assert freq.length >= ord.length;return ord;}
