request -> request: Probability = 0.99, Count = 5409
if -> numberVE: Probability = 0.00, Count = 1
if -> value: Probability = 0.00, Count = 1
if -> true: Probability = 0.00, Count = 3
if -> x: Probability = 0.00, Count = 1
if -> getRunInBackground: Probability = 0.00, Count = 1
if -> ]: Probability = 0.00, Count = 3
if -> [: Probability = 0.00, Count = 3
if -> expTarget: Probability = 0.00, Count = 1
if -> /: Probability = 0.00, Count = 1
if -> %: Probability = 0.00, Count = 1
if -> valEnd: Probability = 0.00, Count = 2
if -> escherRecords: Probability = 0.00, Count = 1
if -> length: Probability = 0.00, Count = 5
if -> realGroup: Probability = 0.00, Count = 1
if -> hasRealPart: Probability = 0.00, Count = 1
if -> continue: Probability = 0.00, Count = 4
if -> len: Probability = 0.00, Count = 1
if -> +: Probability = 0.00, Count = 2
if -> kv: Probability = 0.00, Count = 1
if -> break: Probability = 0.00, Count = 1
if -> o: Probability = 0.00, Count = 4
if -> .: Probability = 0.00, Count = 17
if -> values: Probability = 0.00, Count = 1
if -> findRef: Probability = 0.00, Count = 1
if -> j: Probability = 0.00, Count = 1
if -> ArrayIndexOutOfBoundsException: Probability = 0.00, Count = 2
if -> functionName: Probability = 0.00, Count = 1
if -> QUERY_TREE_BUILDER_TAGID: Probability = 0.00, Count = 1
if -> getSymbol: Probability = 0.00, Count = 1
if -> indexOf: Probability = 0.00, Count = 2
if -> ext: Probability = 0.00, Count = 2
if -> it: Probability = 0.00, Count = 1
if -> next: Probability = 0.00, Count = 1
if -> block: Probability = 0.00, Count = 1
if -> finally: Probability = 0.00, Count = 2
if -> isEmpty: Probability = 0.00, Count = 1
if -> pathElements: Probability = 0.00, Count = 1
if -> glowChange: Probability = 0.00, Count = 1
if -> mPullDistance: Probability = 0.00, Count = 1
if -> deltaDistance: Probability = 0.00, Count = 1
if -> field: Probability = 0.00, Count = 2
if -> valueCount: Probability = 0.00, Count = 1
if -> off: Probability = 0.00, Count = 1
if -> DICTIONARY_ATTRIBUTE: Probability = 0.00, Count = 1
if -> dictionaryResource: Probability = 0.00, Count = 1
if -> name: Probability = 0.00, Count = 1
if -> <: Probability = 0.00, Count = 1
if -> factory: Probability = 0.00, Count = 1
if -> term: Probability = 0.00, Count = 1
if -> I_MatchPredicate: Probability = 0.00, Count = 1
if -> I_MatchAreaPredicate: Probability = 0.00, Count = 2
if -> empty: Probability = 0.00, Count = 1
if -> e: Probability = 0.00, Count = 1
if -> DETECTED: Probability = 0.00, Count = 1
if -> stop: Probability = 0.00, Count = 1
if -> setValue: Probability = 0.00, Count = 1
if -> items: Probability = 0.00, Count = 1
if -> CredentialItem: Probability = 0.00, Count = 1
if -> field_3_cell_options: Probability = 0.00, Count = 1
if -> field_5_indention_options: Probability = 0.00, Count = 1
if -> field_4_alignment_options: Probability = 0.00, Count = 1
if -> field_6_border_options: Probability = 0.00, Count = 1
if -> field_7_palette_options: Probability = 0.00, Count = 1
if -> field_2_format_index: Probability = 0.00, Count = 1
if -> field_1_font_index: Probability = 0.00, Count = 1
if -> field_8_adtl_palette_options: Probability = 0.00, Count = 1
if -> _value: Probability = 0.00, Count = 1
if -> automaton: Probability = 0.00, Count = 1
if -> resultBuffer: Probability = 0.00, Count = 1
if -> other: Probability = 0.00, Count = 1
if -> key: Probability = 0.00, Count = 1
if -> returnType: Probability = 0.00, Count = 1
if -> deletePublicKeyRequest: Probability = 0.00, Count = 1
if -> DELETE: Probability = 0.00, Count = 1
if -> rule: Probability = 0.00, Count = 1
if -> craNew: Probability = 0.00, Count = 1
if -> content: Probability = 0.00, Count = 1
if -> -: Probability = 0.00, Count = 2
if -> b: Probability = 0.00, Count = 1
if -> array: Probability = 0.00, Count = 1
if -> ShortBuffer: Probability = 0.00, Count = 1
if -> lastDot: Probability = 0.00, Count = 1
if -> a3p: Probability = 0.00, Count = 1
if -> a: Probability = 0.00, Count = 1
if -> firstArg: Probability = 0.00, Count = 1
if -> isSkip: Probability = 0.00, Count = 1
if -> isOptimizedIf: Probability = 0.00, Count = 1
if -> isOptimizedChoose: Probability = 0.00, Count = 1
if -> isSum: Probability = 0.00, Count = 2
if -> isBaxcel: Probability = 0.00, Count = 1
if -> ,: Probability = 0.00, Count = 4
if -> at: Probability = 0.00, Count = 2
if -> transition: Probability = 0.00, Count = 1
if -> ptr: Probability = 0.00, Count = 1
if -> IntBuffer: Probability = 0.00, Count = 1
if -> commit: Probability = 0.00, Count = 1
if -> AttributeSource: Probability = 0.00, Count = 1
if -> obj: Probability = 0.00, Count = 1
if -> getPort: Probability = 0.00, Count = 1
if -> FloatBuffer: Probability = 0.00, Count = 1
if -> DoubleBuffer: Probability = 0.00, Count = 1
if -> StringEval: Probability = 0.00, Count = 1
if -> ve: Probability = 0.00, Count = 1
if -> rules: Probability = 0.00, Count = 1
if -> min: Probability = 0.00, Count = 1
if -> remove: Probability = 0.00, Count = 1
if -> endIndex: Probability = 0.00, Count = 1
if -> fields: Probability = 0.00, Count = 1
if -> System: Probability = 0.00, Count = 1
if -> null: Probability = 0.00, Count = 1
if -> throw: Probability = 0.00, Count = 1
if -> record: Probability = 0.00, Count = 1
if -> cp: Probability = 0.00, Count = 1
if -> src: Probability = 0.00, Count = 2
if -> bufferLeft: Probability = 0.00, Count = 1
if -> part: Probability = 0.00, Count = 1
if -> minIn: Probability = 0.00, Count = 1
if -> notesRef: Probability = 0.00, Count = 1
if -> LexerATNConfig: Probability = 0.00, Count = 1
if -> include: Probability = 0.00, Count = 1
if -> getTagger: Probability = 0.00, Count = 1
if -> HyperlinkRecord: Probability = 0.00, Count = 1
if -> indexCommitGen: Probability = 0.00, Count = 2
if -> &: Probability = 0.00, Count = 1
if -> CharBuffer: Probability = 0.00, Count = 1
if -> getReverse: Probability = 0.00, Count = 1
if -> missingValue: Probability = 0.00, Count = 1
if -> replacement: Probability = 0.00, Count = 1
if -> mapper: Probability = 0.00, Count = 1
if -> upto: Probability = 0.00, Count = 1
if -> crA: Probability = 0.00, Count = 1
if -> RecordAggregate: Probability = 0.00, Count = 1
if -> keys: Probability = 0.00, Count = 1
i -> i: Probability = 0.76, Count = 1477
i -> (: Probability = 0.02, Count = 31
i -> int: Probability = 0.01, Count = 29
i -> ): Probability = 0.01, Count = 22
i -> <: Probability = 0.01, Count = 10
i -> ;: Probability = 0.03, Count = 64
i -> [: Probability = 0.02, Count = 48
i -> ': Probability = 0.00, Count = 7
i -> s: Probability = 0.00, Count = 1
i -> 0: Probability = 0.01, Count = 21
i -> =: Probability = 0.02, Count = 33
i -> if: Probability = 0.00, Count = 2
i -> continue: Probability = 0.00, Count = 1
i -> CredentialItem: Probability = 0.00, Count = 1
i -> -: Probability = 0.00, Count = 3
i -> ]: Probability = 0.01, Count = 17
i -> +: Probability = 0.01, Count = 20
i -> .: Probability = 0.01, Count = 20
i -> size: Probability = 0.00, Count = 3
i -> {: Probability = 0.00, Count = 8
i -> FileIdCluster: Probability = 0.00, Count = 1
i -> drawingGroupId: Probability = 0.00, Count = 1
i -> getNumMatches: Probability = 0.00, Count = 1
i -> 1: Probability = 0.00, Count = 3
i -> get: Probability = 0.00, Count = 3
i -> :: Probability = 0.00, Count = 3
i -> p: Probability = 0.00, Count = 2
i -> 24: Probability = 0.00, Count = 2
i -> jj_expentries: Probability = 0.00, Count = 7
i -> DFAState: Probability = 0.00, Count = 1
i -> MAX_ITERATION_COUNT: Probability = 0.00, Count = 1
i -> return: Probability = 0.00, Count = 5
i -> colon: Probability = 0.00, Count = 1
i -> c: Probability = 0.00, Count = 2
i -> charArray: Probability = 0.00, Count = 1
i -> token: Probability = 0.00, Count = 1
i -> length: Probability = 0.00, Count = 6
i -> val: Probability = 0.00, Count = 1
i -> valuesPerBlock: Probability = 0.00, Count = 2
i -> %: Probability = 0.00, Count = 1
i -> for: Probability = 0.00, Count = 3
i -> it: Probability = 0.00, Count = 1
i -> j: Probability = 0.00, Count = 7
i -> rules: Probability = 0.00, Count = 1
i -> *: Probability = 0.00, Count = 1
i -> m: Probability = 0.00, Count = 1
i -> l: Probability = 0.00, Count = 2
i -> OBJECT_ID_STRING_LENGTH: Probability = 0.00, Count = 1
i -> charAt: Probability = 0.00, Count = 1
i -> parts: Probability = 0.00, Count = 1
i -> array1: Probability = 0.00, Count = 2
i -> ptgs: Probability = 0.00, Count = 1
i -> specs: Probability = 0.00, Count = 1
i -> la1tokens: Probability = 0.00, Count = 2
i -> 33: Probability = 0.00, Count = 1
i -> new: Probability = 0.00, Count = 2
i -> HSSFConditionalFormattingRule: Probability = 0.00, Count = 1
i -> cfRules: Probability = 0.00, Count = 1
i -> I: Probability = 0.00, Count = 1
i -> st: Probability = 0.00, Count = 1
i -> >: Probability = 0.00, Count = 1
i -> arity: Probability = 0.00, Count = 1
i -> password: Probability = 0.00, Count = 1
i -> ,: Probability = 0.00, Count = 6
i -> getFunctionByIndex: Probability = 0.00, Count = 1
i -> append: Probability = 0.00, Count = 2
i -> queries: Probability = 0.00, Count = 2
i -> functionNames: Probability = 0.00, Count = 1
i -> equal: Probability = 0.00, Count = 1
i -> remove: Probability = 0.00, Count = 1
i -> mSize: Probability = 0.00, Count = 1
i -> 34: Probability = 0.00, Count = 1
i -> SubRecord: Probability = 0.00, Count = 1
i -> ": Probability = 0.00, Count = 3
i -> result: Probability = 0.00, Count = 1
i -> step1: Probability = 0.00, Count = 1
i -> stats: Probability = 0.00, Count = 1
i -> charactersStrArray: Probability = 0.00, Count = 2
i -> Integer: Probability = 0.00, Count = 2
i -> results: Probability = 0.00, Count = 1
i -> getChild: Probability = 0.00, Count = 1
i -> }: Probability = 0.00, Count = 3
i -> URISyntaxException: Probability = 0.00, Count = 1
i -> positionSpan: Probability = 0.00, Count = 1
i -> next: Probability = 0.00, Count = 1
i -> subSequence: Probability = 0.00, Count = 1
i -> cmd: Probability = 0.00, Count = 1
i -> fic: Probability = 0.00, Count = 1
i -> eThis: Probability = 0.00, Count = 1
i -> else: Probability = 0.00, Count = 1
i -> instanceof: Probability = 0.00, Count = 1
i -> |: Probability = 0.00, Count = 1
i -> replaceChar: Probability = 0.00, Count = 1
i -> default: Probability = 0.00, Count = 1
i -> &: Probability = 0.00, Count = 1
i -> end: Probability = 0.00, Count = 1
i -> offset: Probability = 0.00, Count = 2
i -> setByteAt: Probability = 0.00, Count = 1
i -> false: Probability = 0.00, Count = 1
i -> _hasPositions: Probability = 0.00, Count = 1
i -> visitRecord: Probability = 0.00, Count = 1
i -> key: Probability = 0.00, Count = 1
i -> ArrayPtg: Probability = 0.00, Count = 1
i -> bounds: Probability = 0.00, Count = 1
i -> externs: Probability = 0.00, Count = 1
i -> /: Probability = 0.00, Count = 1
i -> _buf: Probability = 0.00, Count = 1
0 -> 0: Probability = 0.77, Count = 1853
0 -> idx: Probability = 0.00, Count = 2
0 -> ): Probability = 0.02, Count = 56
0 -> for: Probability = 0.00, Count = 4
0 -> .: Probability = 0.01, Count = 27
0 -> false: Probability = 0.00, Count = 3
0 -> =: Probability = 0.04, Count = 100
0 -> 1: Probability = 0.00, Count = 5
0 -> ": Probability = 0.00, Count = 9
0 -> i: Probability = 0.01, Count = 19
0 -> {: Probability = 0.01, Count = 20
0 -> d: Probability = 0.00, Count = 4
0 -> <: Probability = 0.01, Count = 13
0 -> (: Probability = 0.01, Count = 22
0 -> s: Probability = 0.00, Count = 3
0 -> ;: Probability = 0.01, Count = 36
0 -> isEmpty: Probability = 0.00, Count = 9
0 -> case: Probability = 0.00, Count = 2
0 -> >: Probability = 0.01, Count = 14
0 -> terms: Probability = 0.00, Count = 1
0 -> append: Probability = 0.00, Count = 1
0 -> NBEST_COST: Probability = 0.00, Count = 1
0 -> +: Probability = 0.00, Count = 5
0 -> ,: Probability = 0.01, Count = 26
0 -> :: Probability = 0.00, Count = 7
0 -> substring: Probability = 0.00, Count = 3
0 -> get: Probability = 0.00, Count = 1
0 -> int: Probability = 0.00, Count = 4
0 -> jj_rescan_token: Probability = 0.00, Count = 2
0 -> jj_expentries: Probability = 0.00, Count = 2
0 -> placesNumber: Probability = 0.00, Count = 1
0 -> edges: Probability = 0.00, Count = 1
0 -> [: Probability = 0.00, Count = 9
0 -> fDerivative: Probability = 0.00, Count = 1
0 -> -: Probability = 0.00, Count = 2
0 -> k: Probability = 0.00, Count = 3
0 -> |: Probability = 0.00, Count = 7
0 -> grow: Probability = 0.00, Count = 1
0 -> original: Probability = 0.00, Count = 1
0 -> colon: Probability = 0.00, Count = 1
0 -> null: Probability = 0.00, Count = 2
0 -> &: Probability = 0.00, Count = 6
0 -> Math: Probability = 0.00, Count = 1
0 -> ?: Probability = 0.00, Count = 2
0 -> charArray: Probability = 0.00, Count = 1
0 -> viableAlts: Probability = 0.00, Count = 1
0 -> fromOffsetInBlock: Probability = 0.00, Count = 1
0 -> long: Probability = 0.00, Count = 1
0 -> final: Probability = 0.00, Count = 1
0 -> other: Probability = 0.00, Count = 1
0 -> buffer: Probability = 0.00, Count = 1
0 -> ruleIndex: Probability = 0.00, Count = 1
0 -> predicateIndex: Probability = 0.00, Count = 1
0 -> if: Probability = 0.00, Count = 5
0 -> inc: Probability = 0.00, Count = 1
0 -> your: Probability = 0.00, Count = 1
0 -> flags: Probability = 0.00, Count = 1
0 -> b: Probability = 0.00, Count = 1
0 -> count: Probability = 0.00, Count = 1
0 -> offset: Probability = 0.00, Count = 3
0 -> byte: Probability = 0.00, Count = 1
0 -> nextValues: Probability = 0.00, Count = 1
0 -> longs: Probability = 0.00, Count = 1
0 -> nextBlocks: Probability = 0.00, Count = 1
0 -> ]: Probability = 0.00, Count = 4
0 -> skipped: Probability = 0.00, Count = 1
0 -> skipBuffer: Probability = 0.00, Count = 1
0 -> !: Probability = 0.00, Count = 4
0 -> and: Probability = 0.00, Count = 1
0 -> this: Probability = 0.00, Count = 1
0 -> v: Probability = 0.00, Count = 1
0 -> baseTree: Probability = 0.00, Count = 1
0 -> mGlowScaleY: Probability = 0.00, Count = 1
0 -> jj_add_error_token: Probability = 0.00, Count = 2
0 -> jj_endpos: Probability = 0.00, Count = 2
0 -> return: Probability = 0.00, Count = 5
0 -> complexData: Probability = 0.00, Count = 1
0 -> start: Probability = 0.00, Count = 1
0 -> sval: Probability = 0.00, Count = 5
0 -> Arc: Probability = 0.00, Count = 1
0 -> p: Probability = 0.00, Count = 1
0 -> try: Probability = 0.00, Count = 2
0 -> nRanges: Probability = 0.00, Count = 1
0 -> mSize: Probability = 0.00, Count = 1
0 -> else: Probability = 0.00, Count = 1
0 -> f: Probability = 0.00, Count = 2
0 -> LEVEL_SIZE_ARRAY: Probability = 0.00, Count = 1
0 -> level: Probability = 0.00, Count = 1
0 -> endIndex: Probability = 0.00, Count = 1
0 -> n: Probability = 0.00, Count = 1
0 -> mbPerSec: Probability = 0.00, Count = 1
0 -> ramBytesUsed: Probability = 0.00, Count = 1
0 -> wasEscaped: Probability = 0.00, Count = 1
0 -> chars: Probability = 0.00, Count = 1
0 -> }: Probability = 0.00, Count = 3
0 -> getCharWidth: Probability = 0.00, Count = 1
0 -> ': Probability = 0.00, Count = 3
0 -> untokenizedTypes: Probability = 0.00, Count = 1
0 -> arg: Probability = 0.00, Count = 1
0 -> tokens: Probability = 0.00, Count = 1
0 -> array: Probability = 0.00, Count = 1
0 -> newArray: Probability = 0.00, Count = 1
0 -> a: Probability = 0.00, Count = 1
0 -> index: Probability = 0.00, Count = 1
0 -> resourcePath: Probability = 0.00, Count = 1
0 -> bQuery: Probability = 0.00, Count = 1
0 -> str: Probability = 0.00, Count = 1
0 -> field: Probability = 0.00, Count = 1
0 -> Iterator: Probability = 0.00, Count = 1
0 -> ROOT: Probability = 0.00, Count = 1
0 -> assert: Probability = 0.00, Count = 1
0 -> segmentOptimizationEnabled: Probability = 0.00, Count = 1
0 -> 16: Probability = 0.00, Count = 1
0 -> POILogger: Probability = 0.00, Count = 1
0 -> ancestors: Probability = 0.00, Count = 1
0 -> upto: Probability = 0.00, Count = 1
0 -> total: Probability = 0.00, Count = 1
0 -> 2f: Probability = 0.00, Count = 1
0 -> lines: Probability = 0.00, Count = 1
0 -> ram: Probability = 0.00, Count = 1
0 -> %: Probability = 0.00, Count = 1
0 -> sec: Probability = 0.00, Count = 1
0 -> /: Probability = 0.00, Count = 1
0 -> levelW: Probability = 0.00, Count = 1
! -> !: Probability = 0.63, Count = 773
! -> -: Probability = 0.00, Count = 3
! -> return: Probability = 0.01, Count = 7
! -> ;: Probability = 0.02, Count = 19
! -> ]: Probability = 0.01, Count = 7
! -> >: Probability = 0.00, Count = 1
! -> +: Probability = 0.00, Count = 5
! -> =: Probability = 0.06, Count = 76
! -> &: Probability = 0.00, Count = 5
! -> {: Probability = 0.01, Count = 9
! -> .: Probability = 0.02, Count = 25
! -> null: Probability = 0.01, Count = 11
! -> (: Probability = 0.05, Count = 56
! -> entryForNullKey: Probability = 0.00, Count = 2
! -> e: Probability = 0.00, Count = 3
! -> ): Probability = 0.04, Count = 44
! -> ArrayList: Probability = 0.00, Count = 1
! -> |: Probability = 0.01, Count = 11
! -> if: Probability = 0.02, Count = 23
! -> append: Probability = 0.00, Count = 2
! -> props: Probability = 0.01, Count = 7
! -> cmp: Probability = 0.00, Count = 2
! -> ?: Probability = 0.00, Count = 1
! -> Arrays: Probability = 0.00, Count = 1
! -> ,: Probability = 0.00, Count = 1
! -> r: Probability = 0.00, Count = 1
! -> uniqueTermsInFragment: Probability = 0.00, Count = 1
! -> edges: Probability = 0.00, Count = 1
! -> [: Probability = 0.00, Count = 1
! -> object: Probability = 0.00, Count = 5
! -> currentSubtree: Probability = 0.00, Count = 1
! -> DataFormatException: Probability = 0.00, Count = 1
! -> 0: Probability = 0.01, Count = 8
! -> startCommit: Probability = 0.00, Count = 1
! -> data: Probability = 0.00, Count = 1
! -> }: Probability = 0.00, Count = 5
! -> c1: Probability = 0.00, Count = 1
! -> sourceSet: Probability = 0.00, Count = 1
! -> realSign: Probability = 0.00, Count = 1
! -> ks: Probability = 0.00, Count = 1
! -> ": Probability = 0.00, Count = 3
! -> getS3Object: Probability = 0.00, Count = 2
! -> Entry: Probability = 0.00, Count = 1
! -> 1: Probability = 0.00, Count = 2
! -> update: Probability = 0.00, Count = 1
! -> t: Probability = 0.00, Count = 3
! -> 2: Probability = 0.00, Count = 2
! -> size: Probability = 0.00, Count = 2
! -> ': Probability = 0.00, Count = 6
! -> modeDiff: Probability = 0.00, Count = 1
! -> <: Probability = 0.00, Count = 1
! -> success: Probability = 0.00, Count = 1
! -> getObjectId: Probability = 0.00, Count = 1
! -> final: Probability = 0.00, Count = 1
! -> this: Probability = 0.00, Count = 1
! -> es: Probability = 0.00, Count = 1
! -> toSync: Probability = 0.00, Count = 1
! -> currentRow: Probability = 0.00, Count = 1
! -> equals: Probability = 0.00, Count = 1
! -> criteriaPredicate: Probability = 0.00, Count = 1
! -> value: Probability = 0.00, Count = 1
! -> nTerms: Probability = 0.00, Count = 1
! -> field_9_fill_palette_options: Probability = 0.00, Count = 1
! -> false: Probability = 0.00, Count = 6
! -> cmpResult: Probability = 0.00, Count = 1
! -> rule: Probability = 0.00, Count = 1
! -> mSize: Probability = 0.00, Count = 1
! -> byteOrder2: Probability = 0.00, Count = 1
! -> classID1: Probability = 0.00, Count = 1
! -> o: Probability = 0.00, Count = 1
! -> assert: Probability = 0.00, Count = 3
! -> while: Probability = 0.00, Count = 2
! -> searcher: Probability = 0.00, Count = 1
! -> message: Probability = 0.00, Count = 1
! -> _parseListeners: Probability = 0.00, Count = 1
! -> ruleIndex: Probability = 0.00, Count = 1
! -> getRuleIndex: Probability = 0.00, Count = 1
! -> state: Probability = 0.00, Count = 1
! -> charFilterFactories: Probability = 0.00, Count = 1
! -> vs: Probability = 0.00, Count = 1
! -> queries: Probability = 0.00, Count = 1
! -> indexReader: Probability = 0.00, Count = 1
! -> postingsReader: Probability = 0.00, Count = 1
! -> a: Probability = 0.00, Count = 2
! -> scheme: Probability = 0.00, Count = 1
! -> result: Probability = 0.00, Count = 1
! -> string: Probability = 0.00, Count = 1
! -> arn: Probability = 0.00, Count = 1
! -> totalMaxDoc: Probability = 0.00, Count = 1
! -> length: Probability = 0.00, Count = 2
! -> synSetID: Probability = 0.00, Count = 1
! -> includeUpper: Probability = 0.00, Count = 1
! -> lowerTerm: Probability = 0.00, Count = 1
! -> upperTerm: Probability = 0.00, Count = 1
! -> credentials: Probability = 0.00, Count = 2
! -> type: Probability = 0.00, Count = 1
! -> it: Probability = 0.00, Count = 1
! -> altsets: Probability = 0.00, Count = 1
! -> _moniker: Probability = 0.00, Count = 1
! -> evaluatorForFunction: Probability = 0.00, Count = 1
! -> _rows: Probability = 0.00, Count = 1
! -> get: Probability = 0.00, Count = 1
! -> maxInclusive: Probability = 0.00, Count = 1
! -> top: Probability = 0.00, Count = 1
! -> s: Probability = 0.00, Count = 1
! -> tokenType: Probability = 0.00, Count = 1
! -> getType: Probability = 0.00, Count = 1
! -> _psBlock: Probability = 0.00, Count = 1
! -> newDoc: Probability = 0.00, Count = 1
! -> block: Probability = 0.00, Count = 1
! -> probs: Probability = 0.00, Count = 1
! -> _bsels: Probability = 0.00, Count = 1
! -> else: Probability = 0.00, Count = 1
! -> EscherComplexProperty: Probability = 0.00, Count = 1
! -> BlockTermState: Probability = 0.00, Count = 1
! -> existingTerm: Probability = 0.00, Count = 1
! -> weightedSpanTerm: Probability = 0.00, Count = 1
! -> foundTerms: Probability = 0.00, Count = 1
! -> transpositions: Probability = 0.00, Count = 1
! -> docBase: Probability = 0.00, Count = 1
! -> collection: Probability = 0.00, Count = 1
DELETED -> DELETED: Probability = 1.00, Count = 4
key -> key: Probability = 0.72, Count = 190
key -> ;: Probability = 0.02, Count = 4
key -> =: Probability = 0.03, Count = 7
key -> (: Probability = 0.06, Count = 15
key -> &: Probability = 0.01, Count = 2
key -> e: Probability = 0.01, Count = 2
key -> secondaryHash: Probability = 0.00, Count = 1
key -> if: Probability = 0.00, Count = 1
key -> isInBounds: Probability = 0.01, Count = 2
key -> remove: Probability = 0.00, Count = 1
key -> ): Probability = 0.03, Count = 7
key -> get: Probability = 0.02, Count = 5
key -> valueOf: Probability = 0.01, Count = 3
key -> .: Probability = 0.01, Count = 3
key -> }: Probability = 0.00, Count = 1
key -> FileKey: Probability = 0.00, Count = 1
key -> getBytes: Probability = 0.00, Count = 1
key -> Object: Probability = 0.01, Count = 2
key -> hash: Probability = 0.00, Count = 1
key -> userPassword: Probability = 0.00, Count = 1
key -> Decryptor: Probability = 0.00, Count = 1
key -> DEFAULT_PASSWORD: Probability = 0.00, Count = 1
key -> return: Probability = 0.01, Count = 2
key -> |: Probability = 0.00, Count = 1
key -> FS: Probability = 0.00, Count = 1
key -> ?: Probability = 0.00, Count = 1
key -> target: Probability = 0.00, Count = 1
key -> length: Probability = 0.02, Count = 4
key -> K: Probability = 0.00, Count = 1
mValues -> mValues: Probability = 0.97, Count = 35
mValues -> ;: Probability = 0.03, Count = 1
[ -> [: Probability = 0.76, Count = 2693
[ -> ): Probability = 0.01, Count = 48
[ -> formatQueryAsTrecTopic: Probability = 0.00, Count = 1
[ -> Paths: Probability = 0.00, Count = 1
[ -> IndexFileNames: Probability = 0.00, Count = 1
[ -> rowCells: Probability = 0.00, Count = 1
[ -> CellValueRecordInterface: Probability = 0.00, Count = 1
[ -> records: Probability = 0.00, Count = 1
[ -> revision: Probability = 0.00, Count = 1
[ -> (: Probability = 0.03, Count = 116
[ -> tab: Probability = 0.00, Count = 3
[ -> HashMapEntry: Probability = 0.00, Count = 2
[ -> s: Probability = 0.00, Count = 4
[ -> ': Probability = 0.00, Count = 10
[ -> ]: Probability = 0.01, Count = 51
[ -> :: Probability = 0.00, Count = 4
[ -> case: Probability = 0.00, Count = 2
[ -> RepoNamespace: Probability = 0.01, Count = 25
[ -> valueOf: Probability = 0.00, Count = 1
[ -> ": Probability = 0.00, Count = 13
[ -> E: Probability = 0.00, Count = 2
[ -> {: Probability = 0.00, Count = 10
[ -> ,: Probability = 0.00, Count = 17
[ -> V: Probability = 0.00, Count = 2
[ -> =: Probability = 0.01, Count = 33
[ -> ReaderSlice: Probability = 0.00, Count = 2
[ -> &: Probability = 0.00, Count = 3
[ -> 5: Probability = 0.00, Count = 1
[ -> values: Probability = 0.01, Count = 22
[ -> r: Probability = 0.00, Count = 1
[ -> blocks: Probability = 0.01, Count = 29
[ -> final: Probability = 0.00, Count = 5
[ -> ;: Probability = 0.01, Count = 45
[ -> <: Probability = 0.00, Count = 7
[ -> }: Probability = 0.00, Count = 8
[ -> i: Probability = 0.00, Count = 16
[ -> 0: Probability = 0.00, Count = 2
[ -> Object: Probability = 0.00, Count = 13
[ -> buffer: Probability = 0.00, Count = 2
[ -> trace: Probability = 0.00, Count = 1
[ -> long: Probability = 0.00, Count = 1
[ -> max: Probability = 0.00, Count = 1
[ -> freeByteBlocks: Probability = 0.00, Count = 1
[ -> 0xFF: Probability = 0.00, Count = 3
[ -> byte4: Probability = 0.00, Count = 3
[ -> scratch: Probability = 0.00, Count = 2
[ -> vals: Probability = 0.00, Count = 3
[ -> roundNumber: Probability = 0.00, Count = 7
[ -> .: Probability = 0.01, Count = 24
[ -> fields: Probability = 0.00, Count = 6
[ -> reverseMul: Probability = 0.00, Count = 1
[ -> comparators: Probability = 0.00, Count = 1
[ -> shardHits: Probability = 0.00, Count = 4
[ -> byte: Probability = 0.00, Count = 5
[ -> _rows: Probability = 0.00, Count = 1
[ -> _firstrow: Probability = 0.00, Count = 1
[ -> Property: Probability = 0.00, Count = 1
[ -> p: Probability = 0.00, Count = 2
[ -> ArrayUtil: Probability = 0.00, Count = 1
[ -> plainText: Probability = 0.00, Count = 1
[ -> byte6: Probability = 0.00, Count = 3
[ -> jj_expentries: Probability = 0.00, Count = 2
[ -> +: Probability = 0.00, Count = 7
[ -> exptokseq: Probability = 0.00, Count = 2
[ -> currentBlock: Probability = 0.00, Count = 3
[ -> positions: Probability = 0.00, Count = 3
[ -> a: Probability = 0.00, Count = 8
[ -> CRNBlock: Probability = 0.00, Count = 1
[ -> bytes: Probability = 0.00, Count = 2
[ -> key: Probability = 0.00, Count = 1
[ -> charAt: Probability = 0.00, Count = 3
[ -> !: Probability = 0.00, Count = 2
[ -> affix: Probability = 0.00, Count = 1
[ -> 3: Probability = 0.00, Count = 7
[ -> charArray: Probability = 0.00, Count = 3
[ -> token: Probability = 0.00, Count = 1
[ -> get: Probability = 0.00, Count = 2
[ -> 1: Probability = 0.00, Count = 6
[ -> getRecordName: Probability = 0.00, Count = 1
[ -> 2: Probability = 0.00, Count = 5
[ -> Imaginary: Probability = 0.00, Count = 1
[ -> >: Probability = 0.00, Count = 8
[ -> bytesStart: Probability = 0.00, Count = 1
[ -> array: Probability = 0.00, Count = 6
[ -> int: Probability = 0.00, Count = 5
[ -> Namespace: Probability = 0.00, Count = 7
[ -> -: Probability = 0.00, Count = 9
[ -> e: Probability = 0.00, Count = 2
[ -> l: Probability = 0.00, Count = 1
[ -> RkRec: Probability = 0.00, Count = 2
[ -> retval: Probability = 0.00, Count = 1
[ -> *: Probability = 0.00, Count = 3
[ -> /: Probability = 0.00, Count = 1
[ -> exceptions: Probability = 0.00, Count = 6
[ -> k: Probability = 0.00, Count = 1
[ -> terms: Probability = 0.00, Count = 1
[ -> prev: Probability = 0.00, Count = 1
[ -> String: Probability = 0.00, Count = 4
[ -> wasEscaped: Probability = 0.00, Count = 1
[ -> new: Probability = 0.00, Count = 10
[ -> MergeStrategy: Probability = 0.00, Count = 1
[ -> outGoingArgs: Probability = 0.00, Count = 1
[ -> decision: Probability = 0.00, Count = 1
[ -> |: Probability = 0.00, Count = 4
[ -> len: Probability = 0.00, Count = 2
[ -> if: Probability = 0.00, Count = 2
[ -> set: Probability = 0.00, Count = 1
