{ -> data: Probability = 0.00, Count = 1
) -> sin: Probability = 0.00, Count = 1
) -> cos: Probability = 0.00, Count = 3
) -> (: Probability = 0.03, Count = 17
) -> g: Probability = 0.00, Count = 1
) -> r: Probability = 0.00, Count = 1
) -> row: Probability = 0.00, Count = 1
) -> pixelNum: Probability = 0.00, Count = 1
) -> size_t: Probability = 0.00, Count = 1
) -> maxhd: Probability = 0.00, Count = 1
) -> x: Probability = 0.01, Count = 5
) -> 1: Probability = 0.01, Count = 6
) -> float: Probability = 0.01, Count = 7
) -> *: Probability = 0.01, Count = 9
) -> floorf: Probability = 0.00, Count = 1
) -> temp: Probability = 0.00, Count = 1
) -> k: Probability = 0.00, Count = 3
) -> column: Probability = 0.00, Count = 1
) -> result: Probability = 0.00, Count = 1
) -> i: Probability = 0.00, Count = 2
) -> sum: Probability = 0.00, Count = 1
) -> 2: Probability = 0.00, Count = 1
) -> j: Probability = 0.00, Count = 1
) -> depth: Probability = 0.00, Count = 2
) -> >: Probability = 0.00, Count = 1
) -> element_c: Probability = 0.00, Count = 1
) -> d_in_grad: Probability = 0.00, Count = 1
) -> summ: Probability = 0.00, Count = 1
) -> -: Probability = 0.01, Count = 4
) -> 3: Probability = 0.00, Count = 1
) -> width_M: Probability = 0.00, Count = 1
) -> width_N: Probability = 0.00, Count = 1
) -> largest: Probability = 0.00, Count = 1
) -> batch: Probability = 0.00, Count = 1
) -> <: Probability = 0.01, Count = 7
) -> cols: Probability = 0.00, Count = 1
) -> out: Probability = 0.00, Count = 2
) -> h_index: Probability = 0.00, Count = 1
) -> :: Probability = 0.00, Count = 1
) -> h: Probability = 0.00, Count = 1
) -> &: Probability = 0.00, Count = 1
) -> d: Probability = 0.00, Count = 1
) -> ksize: Probability = 0.00, Count = 1
) -> gpu_img_in_y: Probability = 0.00, Count = 1
) -> boxes_before_nms: Probability = 0.00, Count = 3
) -> id: Probability = 0.00, Count = 1
) -> add_index: Probability = 0.00, Count = 1
) -> stride: Probability = 0.00, Count = 1
) -> top_data: Probability = 0.00, Count = 1
) -> for: Probability = 0.00, Count = 1
[ -> blockIdx: Probability = 0.00, Count = 1
[ -> tid: Probability = 0.04, Count = 31
[ -> idx: Probability = 0.04, Count = 26
[ -> i: Probability = 0.08, Count = 59
[ -> [: Probability = 0.36, Count = 267
[ -> t_id: Probability = 0.00, Count = 3
[ -> j: Probability = 0.01, Count = 9
[ -> 0: Probability = 0.01, Count = 5
[ -> ]: Probability = 0.04, Count = 29
[ -> gid: Probability = 0.01, Count = 7
[ -> index: Probability = 0.03, Count = 25
[ -> x: Probability = 0.01, Count = 7
[ -> threadIdx: Probability = 0.00, Count = 3
[ -> myId: Probability = 0.00, Count = 3
[ -> row: Probability = 0.01, Count = 7
[ -> tx: Probability = 0.00, Count = 2
[ -> id: Probability = 0.02, Count = 14
[ -> un_idx: Probability = 0.00, Count = 2
[ -> ;: Probability = 0.01, Count = 10
[ -> column: Probability = 0.00, Count = 1
[ -> db: Probability = 0.00, Count = 1
[ -> +: Probability = 0.02, Count = 15
[ -> counts: Probability = 0.00, Count = 1
[ -> *: Probability = 0.05, Count = 34
[ -> cluster: Probability = 0.01, Count = 4
[ -> 1: Probability = 0.01, Count = 5
[ -> labelList: Probability = 0.00, Count = 1
[ -> reference: Probability = 0.00, Count = 1
[ -> A: Probability = 0.00, Count = 1
[ -> C: Probability = 0.00, Count = 1
[ -> B: Probability = 0.00, Count = 1
[ -> IND: Probability = 0.00, Count = 2
[ -> d_output: Probability = 0.00, Count = 2
[ -> d_input: Probability = 0.00, Count = 2
[ -> trans_pos: Probability = 0.00, Count = 1
[ -> pos: Probability = 0.01, Count = 6
[ -> N: Probability = 0.00, Count = 2
[ -> memWidth: Probability = 0.01, Count = 4
[ -> width: Probability = 0.00, Count = 3
[ -> result: Probability = 0.00, Count = 2
[ -> val: Probability = 0.00, Count = 1
[ -> 3: Probability = 0.01, Count = 7
[ -> ): Probability = 0.01, Count = 6
[ -> maxvd: Probability = 0.00, Count = 1
[ -> jj: Probability = 0.00, Count = 2
[ -> ind_out: Probability = 0.00, Count = 3
[ -> ind_in: Probability = 0.00, Count = 2
[ -> k: Probability = 0.01, Count = 5
[ -> n: Probability = 0.00, Count = 3
[ -> Row: Probability = 0.00, Count = 3
[ -> idy: Probability = 0.00, Count = 2
[ -> (: Probability = 0.01, Count = 7
[ -> IJ: Probability = 0.02, Count = 17
[ -> =: Probability = 0.01, Count = 6
[ -> -: Probability = 0.00, Count = 2
[ -> pg: Probability = 0.00, Count = 2
[ -> ps: Probability = 0.00, Count = 1
[ -> offset: Probability = 0.00, Count = 3
[ -> my_pixel: Probability = 0.01, Count = 4
[ -> cell: Probability = 0.00, Count = 1
[ -> ELEMENT_INDEX: Probability = 0.00, Count = 1
[ -> }: Probability = 0.00, Count = 1
[ -> variance: Probability = 0.00, Count = 3
[ -> mean: Probability = 0.00, Count = 1
[ -> uidx: Probability = 0.00, Count = 2
[ -> src: Probability = 0.01, Count = 5
[ -> dst: Probability = 0.00, Count = 3
[ -> y: Probability = 0.00, Count = 1
[ -> ptr_stc_1: Probability = 0.00, Count = 1
[ -> pixel: Probability = 0.01, Count = 4
[ -> g: Probability = 0.00, Count = 1
[ -> image_size: Probability = 0.00, Count = 1
[ -> filtered_Q: Probability = 0.00, Count = 1
[ -> add: Probability = 0.00, Count = 1
[ -> i2: Probability = 0.00, Count = 1
[ -> ,: Probability = 0.00, Count = 1
[ -> h: Probability = 0.00, Count = 1
[ -> p: Probability = 0.00, Count = 1
[ -> depth: Probability = 0.00, Count = 1
[ -> .: Probability = 0.00, Count = 1
[ -> firstIndexToGrab: Probability = 0.01, Count = 5
[ -> 4: Probability = 0.00, Count = 2
[ -> c: Probability = 0.00, Count = 1
[ -> base: Probability = 0.01, Count = 7
[ -> &: Probability = 0.00, Count = 3
[ -> fbase: Probability = 0.00, Count = 3
[ -> if: Probability = 0.00, Count = 1
add_100 -> add_100: Probability = 1.00, Count = 1
< -> <: Probability = 0.55, Count = 136
< -> >: Probability = 0.04, Count = 11
< -> inner_reps: Probability = 0.00, Count = 1
< -> size: Probability = 0.02, Count = 4
< -> N: Probability = 0.01, Count = 3
< -> &: Probability = 0.01, Count = 2
< -> 1: Probability = 0.01, Count = 3
< -> y: Probability = 0.01, Count = 2
< -> =: Probability = 0.02, Count = 6
< -> ;: Probability = 0.05, Count = 13
< -> 0: Probability = 0.03, Count = 8
< -> 80: Probability = 0.00, Count = 1
< -> row: Probability = 0.00, Count = 1
< -> pixelNum: Probability = 0.00, Count = 1
< -> imageNum: Probability = 0.00, Count = 1
< -> (: Probability = 0.00, Count = 1
< -> ): Probability = 0.00, Count = 1
< -> indptr: Probability = 0.01, Count = 2
< -> height: Probability = 0.02, Count = 4
< -> p: Probability = 0.00, Count = 1
< -> n: Probability = 0.00, Count = 1
< -> k: Probability = 0.01, Count = 3
< -> width: Probability = 0.02, Count = 5
< -> c1: Probability = 0.00, Count = 1
< -> j: Probability = 0.00, Count = 1
< -> npml: Probability = 0.00, Count = 1
< -> nx: Probability = 0.00, Count = 1
< -> shared_dimensions: Probability = 0.00, Count = 1
< -> col_a: Probability = 0.00, Count = 1
< -> mask_size: Probability = 0.00, Count = 1
< -> m: Probability = 0.01, Count = 2
< -> /: Probability = 0.02, Count = 4
< -> grid_width: Probability = 0.00, Count = 1
< -> colsA: Probability = 0.00, Count = 1
< -> .: Probability = 0.01, Count = 3
< -> +: Probability = 0.01, Count = 2
< -> d_indptr: Probability = 0.01, Count = 2
< -> width_N: Probability = 0.00, Count = 1
< -> i: Probability = 0.00, Count = 1
< -> batchSize: Probability = 0.00, Count = 1
< -> ]: Probability = 0.00, Count = 1
< -> *: Probability = 0.00, Count = 1
< -> h: Probability = 0.01, Count = 2
< -> 5: Probability = 0.00, Count = 1
< -> 4: Probability = 0.00, Count = 1
< -> 3: Probability = 0.00, Count = 1
< -> min: Probability = 0.00, Count = 1
< -> w_col_start: Probability = 0.00, Count = 1
< -> w_col: Probability = 0.00, Count = 1
< -> if: Probability = 0.00, Count = 1
< -> int: Probability = 0.00, Count = 1
< -> [: Probability = 0.00, Count = 1
= -> 100: Probability = 0.00, Count = 1
= -> =: Probability = 0.45, Count = 354
= -> old_arr: Probability = 0.00, Count = 1
= -> array: Probability = 0.00, Count = 1
= -> x: Probability = 0.01, Count = 7
= -> scale: Probability = 0.00, Count = 1
= -> alpha: Probability = 0.00, Count = 3
= -> arrayA: Probability = 0.00, Count = 1
= -> tid: Probability = 0.00, Count = 1
= -> a: Probability = 0.01, Count = 11
= -> ALPHA: Probability = 0.00, Count = 2
= -> vec_out: Probability = 0.00, Count = 1
= -> *: Probability = 0.02, Count = 13
= -> tmp: Probability = 0.00, Count = 1
= -> A: Probability = 0.00, Count = 2
= -> val1: Probability = 0.00, Count = 1
= -> d_in: Probability = 0.00, Count = 3
= -> (: Probability = 0.06, Count = 49
= -> X: Probability = 0.00, Count = 2
= -> 1: Probability = 0.02, Count = 12
= -> .: Probability = 0.01, Count = 11
= -> lr: Probability = 0.00, Count = 1
= -> pow: Probability = 0.00, Count = 2
= -> d_in_a: Probability = 0.00, Count = 1
= -> row: Probability = 0.00, Count = 2
= -> 0: Probability = 0.04, Count = 32
= -> even_inc: Probability = 0.00, Count = 1
= -> base: Probability = 0.00, Count = 2
= -> Tau: Probability = 0.00, Count = 1
= -> vector: Probability = 0.00, Count = 1
= -> g_in: Probability = 0.00, Count = 1
= -> ;: Probability = 0.02, Count = 17
= -> N: Probability = 0.00, Count = 1
= -> output: Probability = 0.00, Count = 1
= -> twod1: Probability = 0.00, Count = 1
= -> vec: Probability = 0.00, Count = 2
= -> index: Probability = 0.01, Count = 7
= -> device_input: Probability = 0.00, Count = 1
= -> ): Probability = 0.01, Count = 6
= -> sy: Probability = 0.00, Count = 1
= -> sx: Probability = 0.00, Count = 1
= -> >: Probability = 0.01, Count = 5
= -> &: Probability = 0.01, Count = 6
= -> [: Probability = 0.02, Count = 16
= -> id: Probability = 0.01, Count = 5
= -> ]: Probability = 0.01, Count = 7
= -> nnz: Probability = 0.00, Count = 1
= -> i: Probability = 0.01, Count = 10
= -> b: Probability = 0.00, Count = 3
= -> abs: Probability = 0.00, Count = 1
= -> truth: Probability = 0.00, Count = 1
= -> diff: Probability = 0.00, Count = 1
= -> filter: Probability = 0.00, Count = 1
= -> in_image: Probability = 0.00, Count = 1
= -> y: Probability = 0.01, Count = 4
= -> temp: Probability = 0.00, Count = 2
= -> 255: Probability = 0.00, Count = 1
= -> mat_in: Probability = 0.00, Count = 1
= -> idy: Probability = 0.00, Count = 2
= -> idx: Probability = 0.00, Count = 2
= -> +: Probability = 0.01, Count = 9
= -> blockDim: Probability = 0.00, Count = 2
= -> if: Probability = 0.00, Count = 2
= -> pn: Probability = 0.00, Count = 1
= -> dec_index: Probability = 0.00, Count = 1
= -> devMat: Probability = 0.00, Count = 2
= -> pcount: Probability = 0.00, Count = 1
= -> {: Probability = 0.00, Count = 2
= -> input: Probability = 0.01, Count = 5
= -> std: Probability = 0.00, Count = 1
= -> indices: Probability = 0.00, Count = 2
= -> indptr: Probability = 0.00, Count = 2
= -> availablePixels: Probability = 0.00, Count = 1
= -> float: Probability = 0.00, Count = 3
= -> d_ind: Probability = 0.00, Count = 1
= -> d_label: Probability = 0.00, Count = 1
= -> fminf: Probability = 0.00, Count = 2
= -> sum: Probability = 0.00, Count = 3
= -> k: Probability = 0.00, Count = 2
= -> d_M: Probability = 0.00, Count = 1
= -> int: Probability = 0.00, Count = 3
= -> pixels_per_image: Probability = 0.00, Count = 3
= -> unsigned: Probability = 0.00, Count = 3
= -> j: Probability = 0.01, Count = 6
= -> x0: Probability = 0.00, Count = 1
= -> column: Probability = 0.00, Count = 1
= -> left: Probability = 0.00, Count = 1
= -> RES: Probability = 0.00, Count = 1
= -> U: Probability = 0.00, Count = 1
= -> gid: Probability = 0.00, Count = 1
= -> threadIdx: Probability = 0.00, Count = 2
= -> mat: Probability = 0.00, Count = 3
= -> res: Probability = 0.00, Count = 1
= -> iN: Probability = 0.00, Count = 1
= -> filterR: Probability = 0.00, Count = 1
= -> long: Probability = 0.01, Count = 4
= -> <: Probability = 0.00, Count = 3
= -> d_indptr: Probability = 0.00, Count = 2
= -> d_indices: Probability = 0.00, Count = 1
= -> image: Probability = 0.00, Count = 2
= -> gray: Probability = 0.00, Count = 1
= -> coef: Probability = 0.00, Count = 1
= -> currentFrame: Probability = 0.00, Count = 1
= -> 3: Probability = 0.00, Count = 1
= -> -: Probability = 0.02, Count = 13
= -> char: Probability = 0.00, Count = 1
= -> 5f: Probability = 0.00, Count = 1
= -> Melement: Probability = 0.00, Count = 1
= -> Nd: Probability = 0.00, Count = 1
= -> g: Probability = 0.00, Count = 1
= -> val: Probability = 0.00, Count = 1
= -> largest: Probability = 0.00, Count = 1
= -> d_out: Probability = 0.00, Count = 1
= -> powf: Probability = 0.00, Count = 1
= -> sqrtf: Probability = 0.00, Count = 1
= -> c: Probability = 0.00, Count = 2
= -> q: Probability = 0.00, Count = 1
= -> cols: Probability = 0.00, Count = 1
= -> rows: Probability = 0.01, Count = 4
= -> out: Probability = 0.00, Count = 1
= -> w: Probability = 0.00, Count = 1
= -> gpu_img_in_g: Probability = 0.00, Count = 2
= -> gpu_img_in_r: Probability = 0.00, Count = 2
= -> gpu_img_in_b: Probability = 0.00, Count = 1
= -> stepSize: Probability = 0.00, Count = 1
= -> /: Probability = 0.00, Count = 1
= -> minc: Probability = 0.00, Count = 3
= -> data_im_ptr: Probability = 0.00, Count = 1
= -> channel_out: Probability = 0.00, Count = 1
= -> yMid: Probability = 0.00, Count = 1
= -> xMin: Probability = 0.00, Count = 1
= -> Delta: Probability = 0.00, Count = 1
= -> 256: Probability = 0.00, Count = 1
= -> yMin: Probability = 0.00, Count = 1
= -> 5: Probability = 0.00, Count = 1
= -> x2: Probability = 0.00, Count = 1
= -> 2: Probability = 0.00, Count = 2
= -> cx: Probability = 0.00, Count = 1
= -> 00304f: Probability = 0.00, Count = 1
= -> cy: Probability = 0.00, Count = 1
= -> |: Probability = 0.00, Count = 1
= -> for: Probability = 0.00, Count = 1
= -> q_points: Probability = 0.00, Count = 1
= -> w_col_start: Probability = 0.00, Count = 2
= -> }: Probability = 0.00, Count = 1
= -> top_data: Probability = 0.01, Count = 7
= -> bottom_data: Probability = 0.00, Count = 1
= -> filters_diff: Probability = 0.00, Count = 1
= -> temp_diff: Probability = 0.00, Count = 1
for -> if: Probability = 0.37, Count = 74
for -> for: Probability = 0.22, Count = 44
for -> while: Probability = 0.02, Count = 3
for -> (: Probability = 0.21, Count = 42
for -> ;: Probability = 0.03, Count = 6
for -> &: Probability = 0.01, Count = 1
for -> int: Probability = 0.02, Count = 4
for -> ): Probability = 0.01, Count = 1
for -> =: Probability = 0.03, Count = 5
for -> {: Probability = 0.03, Count = 5
for -> i: Probability = 0.02, Count = 4
for -> 0: Probability = 0.02, Count = 4
for -> k: Probability = 0.01, Count = 1
for -> f: Probability = 0.01, Count = 1
for -> ENDCOM: Probability = 0.01, Count = 1
for -> 1: Probability = 0.01, Count = 1
for -> q: Probability = 0.01, Count = 1
for -> b: Probability = 0.01, Count = 1
100 -> ;: Probability = 0.33, Count = 1
100 -> 100: Probability = 0.33, Count = 1
100 -> k: Probability = 0.33, Count = 1
* -> *: Probability = 0.66, Count = 755
* -> =: Probability = 0.01, Count = 17
* -> nrows: Probability = 0.00, Count = 1
* -> b: Probability = 0.01, Count = 7
* -> dim: Probability = 0.00, Count = 3
* -> INCX: Probability = 0.01, Count = 10
* -> value: Probability = 0.00, Count = 2
* -> [: Probability = 0.02, Count = 21
* -> size: Probability = 0.00, Count = 3
* -> val2: Probability = 0.00, Count = 1
* -> x: Probability = 0.01, Count = 6
* -> (: Probability = 0.02, Count = 26
* -> INCY: Probability = 0.00, Count = 3
* -> dev_gradient: Probability = 0.00, Count = 1
* -> cols: Probability = 0.01, Count = 12
* -> OFFX: Probability = 0.00, Count = 1
* -> OFFY: Probability = 0.00, Count = 1
* -> 0: Probability = 0.00, Count = 5
* -> scale: Probability = 0.00, Count = 2
* -> aR1: Probability = 0.00, Count = 1
* -> n: Probability = 0.01, Count = 7
* -> vecX: Probability = 0.00, Count = 1
* -> .: Probability = 0.00, Count = 5
* -> 3: Probability = 0.01, Count = 9
* -> y: Probability = 0.01, Count = 9
* -> jsx: Probability = 0.00, Count = 1
* -> jsz: Probability = 0.00, Count = 1
* -> N: Probability = 0.00, Count = 4
* -> nxprj2: Probability = 0.00, Count = 2
* -> width: Probability = 0.01, Count = 13
* -> rows: Probability = 0.00, Count = 3
* -> ): Probability = 0.01, Count = 11
* -> 2: Probability = 0.00, Count = 2
* -> 1: Probability = 0.01, Count = 6
* -> perimeterRes: Probability = 0.00, Count = 1
* -> B: Probability = 0.00, Count = 3
* -> A: Probability = 0.00, Count = 1
* -> +: Probability = 0.03, Count = 36
* -> char: Probability = 0.00, Count = 1
* -> ]: Probability = 0.01, Count = 12
* -> i: Probability = 0.01, Count = 10
* -> images: Probability = 0.00, Count = 1
* -> {: Probability = 0.00, Count = 2
* -> d_disparity: Probability = 0.00, Count = 1
* -> d_in: Probability = 0.00, Count = 1
* -> inv_sub_factor: Probability = 0.00, Count = 1
* -> m: Probability = 0.00, Count = 2
* -> col: Probability = 0.00, Count = 3
* -> d_N: Probability = 0.00, Count = 1
* -> c2: Probability = 0.00, Count = 3
* -> c1: Probability = 0.00, Count = 2
* -> c: Probability = 0.00, Count = 3
* -> LPR: Probability = 0.00, Count = 1
* -> RES: Probability = 0.00, Count = 4
* -> NI: Probability = 0.00, Count = 2
* -> row: Probability = 0.00, Count = 4
* -> column: Probability = 0.00, Count = 1
* -> ;: Probability = 0.01, Count = 9
* -> colorImage: Probability = 0.00, Count = 3
* -> x0: Probability = 0.00, Count = 1
* -> right_columns: Probability = 0.00, Count = 1
* -> shared_dimensions: Probability = 0.00, Count = 1
* -> right: Probability = 0.00, Count = 1
* -> col_b: Probability = 0.00, Count = 2
* -> col_a: Probability = 0.00, Count = 1
* -> mask: Probability = 0.00, Count = 1
* -> pa: Probability = 0.00, Count = 1
* -> %: Probability = 0.00, Count = 1
* -> j: Probability = 0.00, Count = 3
* -> filters: Probability = 0.00, Count = 2
* -> batch: Probability = 0.00, Count = 1
* -> -: Probability = 0.00, Count = 2
* -> unsigned: Probability = 0.00, Count = 4
* -> u: Probability = 0.00, Count = 2
* -> size2d: Probability = 0.00, Count = 1
* -> G: Probability = 0.00, Count = 1
* -> R: Probability = 0.00, Count = 1
* -> d_out_grad: Probability = 0.00, Count = 1
* -> pixel: Probability = 0.00, Count = 2
* -> newvalue: Probability = 0.00, Count = 1
* -> Nelement: Probability = 0.00, Count = 1
* -> int: Probability = 0.00, Count = 1
* -> imag: Probability = 0.00, Count = 1
* -> d_KinectDisparity: Probability = 0.00, Count = 1
* -> d_regularDisparity: Probability = 0.00, Count = 1
* -> spatial: Probability = 0.00, Count = 2
* -> i2: Probability = 0.00, Count = 2
* -> in_w: Probability = 0.00, Count = 1
* -> h: Probability = 0.00, Count = 2
* -> out_h: Probability = 0.00, Count = 1
* -> g: Probability = 0.00, Count = 2
* -> r: Probability = 0.00, Count = 2
* -> occNo: Probability = 0.00, Count = 2
* -> dpsi: Probability = 0.00, Count = 2
* -> psi: Probability = 0.00, Count = 1
* -> q_i: Probability = 0.00, Count = 1
* -> Lq: Probability = 0.00, Count = 1
* -> k: Probability = 0.00, Count = 1
* -> 4: Probability = 0.00, Count = 4
* -> height_col: Probability = 0.00, Count = 1
* -> ksize: Probability = 0.00, Count = 1
* -> powf: Probability = 0.00, Count = 1
* -> dw: Probability = 0.00, Count = 2
* -> yMid: Probability = 0.00, Count = 1
* -> delta: Probability = 0.00, Count = 1
* -> P: Probability = 0.00, Count = 3
* -> if: Probability = 0.00, Count = 1
* -> stride: Probability = 0.00, Count = 2
* -> sample: Probability = 0.00, Count = 1
* -> dh: Probability = 0.00, Count = 1
* -> 5: Probability = 0.00, Count = 1
* -> step: Probability = 0.00, Count = 3
* -> >: Probability = 0.00, Count = 2
* -> <: Probability = 0.00, Count = 1
* -> height: Probability = 0.00, Count = 1
double -> double: Probability = 0.88, Count = 69
double -> blockDim: Probability = 0.01, Count = 1
double -> ]: Probability = 0.01, Count = 1
double -> ): Probability = 0.01, Count = 1
double -> s: Probability = 0.01, Count = 1
double -> res: Probability = 0.01, Count = 1
double -> maximum: Probability = 0.01, Count = 1
double -> float: Probability = 0.04, Count = 3
tid -> ]: Probability = 0.10, Count = 13
tid -> tid: Probability = 0.79, Count = 104
tid -> *: Probability = 0.03, Count = 4
tid -> =: Probability = 0.02, Count = 3
tid -> /: Probability = 0.01, Count = 1
tid -> .: Probability = 0.01, Count = 1
tid -> +: Probability = 0.02, Count = 3
tid -> }: Probability = 0.01, Count = 1
tid -> 4: Probability = 0.01, Count = 1
old_arr -> old_arr: Probability = 0.50, Count = 1
old_arr -> [: Probability = 0.50, Count = 1
new_arr -> new_arr: Probability = 0.50, Count = 1
new_arr -> [: Probability = 0.50, Count = 1
get_ev -> get_ev: Probability = 1.00, Count = 1
arrayCount -> arrayCount: Probability = 1.00, Count = 2
array -> array: Probability = 0.73, Count = 8
array -> [: Probability = 0.27, Count = 3
square -> square: Probability = 1.00, Count = 1
i -> i: Probability = 0.46, Count = 251
i -> ]: Probability = 0.11, Count = 63
i -> idx: Probability = 0.00, Count = 2
i -> *: Probability = 0.07, Count = 36
i -> ): Probability = 0.03, Count = 19
i -> ;: Probability = 0.02, Count = 12
i -> index: Probability = 0.03, Count = 15
i -> x: Probability = 0.01, Count = 6
i -> .: Probability = 0.00, Count = 1
i -> N: Probability = 0.00, Count = 1
i -> gid: Probability = 0.00, Count = 2
i -> lid: Probability = 0.00, Count = 1
i -> column: Probability = 0.00, Count = 1
i -> +: Probability = 0.04, Count = 22
i -> <: Probability = 0.02, Count = 10
i -> =: Probability = 0.04, Count = 20
i -> id: Probability = 0.00, Count = 2
i -> &: Probability = 0.00, Count = 1
i -> j: Probability = 0.02, Count = 11
i -> [: Probability = 0.01, Count = 7
i -> stride: Probability = 0.01, Count = 4
i -> tid: Probability = 0.00, Count = 1
i -> p: Probability = 0.00, Count = 2
i -> INCX: Probability = 0.00, Count = 1
i -> int: Probability = 0.01, Count = 7
i -> ny: Probability = 0.00, Count = 1
i -> nx: Probability = 0.00, Count = 2
i -> 0: Probability = 0.01, Count = 3
i -> size: Probability = 0.00, Count = 1
i -> -: Probability = 0.00, Count = 2
i -> stepSize: Probability = 0.00, Count = 1
i -> 1: Probability = 0.01, Count = 4
i -> colsA: Probability = 0.00, Count = 1
i -> sources_z: Probability = 0.00, Count = 1
i -> wfp: Probability = 0.00, Count = 1
i -> (: Probability = 0.01, Count = 3
i -> image_size: Probability = 0.00, Count = 1
i -> /: Probability = 0.01, Count = 4
i -> 16: Probability = 0.00, Count = 1
i -> ,: Probability = 0.00, Count = 1
i -> for: Probability = 0.00, Count = 1
i -> norm1: Probability = 0.00, Count = 1
i -> f1: Probability = 0.00, Count = 1
i -> b: Probability = 0.00, Count = 1
i -> gridDim: Probability = 0.00, Count = 1
i -> vec: Probability = 0.00, Count = 2
i -> vec1: Probability = 0.01, Count = 4
i -> if: Probability = 0.00, Count = 2
i -> w: Probability = 0.00, Count = 1
i -> sample: Probability = 0.00, Count = 2
i -> %: Probability = 0.00, Count = 2
i -> Q: Probability = 0.01, Count = 3
i -> dims: Probability = 0.00, Count = 2
i -> base: Probability = 0.00, Count = 1
i -> top_data: Probability = 0.00, Count = 1
i -> temp_diff: Probability = 0.00, Count = 1
n -> n: Probability = 0.68, Count = 66
n -> +: Probability = 0.09, Count = 9
n -> ;: Probability = 0.07, Count = 7
n -> &: Probability = 0.01, Count = 1
n -> m: Probability = 0.01, Count = 1
n -> ]: Probability = 0.01, Count = 1
n -> k: Probability = 0.01, Count = 1
n -> =: Probability = 0.08, Count = 8
n -> dcopy: Probability = 0.01, Count = 1
n -> <: Probability = 0.01, Count = 1
n -> h: Probability = 0.01, Count = 1
y -> y: Probability = 0.16, Count = 8
y -> [: Probability = 0.12, Count = 6
y -> +: Probability = 0.10, Count = 5
y -> |: Probability = 0.02, Count = 1
y -> *: Probability = 0.12, Count = 6
y -> >: Probability = 0.02, Count = 1
y -> =: Probability = 0.06, Count = 3
y -> pitch: Probability = 0.02, Count = 1
y -> <: Probability = 0.04, Count = 2
y -> output: Probability = 0.02, Count = 1
y -> k: Probability = 0.02, Count = 1
y -> idx_y: Probability = 0.02, Count = 1
y -> size2d: Probability = 0.06, Count = 3
y -> 1: Probability = 0.04, Count = 2
y -> if: Probability = 0.02, Count = 1
y -> &: Probability = 0.02, Count = 1
y -> width: Probability = 0.02, Count = 1
y -> d_KinectDisparityPitch: Probability = 0.02, Count = 1
y -> d_regularDisparityPitch: Probability = 0.02, Count = 1
y -> ;: Probability = 0.10, Count = 5
x -> x: Probability = 0.49, Count = 43
x -> [: Probability = 0.08, Count = 7
x -> i: Probability = 0.02, Count = 2
x -> =: Probability = 0.08, Count = 7
x -> ;: Probability = 0.05, Count = 4
x -> +: Probability = 0.03, Count = 3
x -> *: Probability = 0.07, Count = 6
x -> idx_x: Probability = 0.01, Count = 1
x -> nt: Probability = 0.01, Count = 1
x -> (: Probability = 0.01, Count = 1
x -> cols: Probability = 0.03, Count = 3
x -> if: Probability = 0.01, Count = 1
x -> ): Probability = 0.05, Count = 4
x -> ]: Probability = 0.01, Count = 1
x -> y: Probability = 0.01, Count = 1
x -> long: Probability = 0.03, Count = 3
add -> add: Probability = 0.67, Count = 4
add -> addKernel: Probability = 0.17, Count = 1
add -> [: Probability = 0.17, Count = 1
float -> float: Probability = 0.88, Count = 361
float -> val: Probability = 0.00, Count = 2
float -> tact: Probability = 0.00, Count = 1
float -> diff: Probability = 0.00, Count = 1
float -> ): Probability = 0.02, Count = 7
float -> d_in: Probability = 0.00, Count = 1
float -> {: Probability = 0.00, Count = 2
float -> temp: Probability = 0.00, Count = 1
float -> id: Probability = 0.00, Count = 2
float -> npml: Probability = 0.00, Count = 1
float -> =: Probability = 0.01, Count = 6
float -> x: Probability = 0.01, Count = 4
float -> coef: Probability = 0.00, Count = 1
float -> newvalue: Probability = 0.00, Count = 1
float -> 0: Probability = 0.00, Count = 1
float -> Melement: Probability = 0.00, Count = 1
float -> Nelement: Probability = 0.00, Count = 1
float -> int: Probability = 0.00, Count = 2
float -> sum: Probability = 0.00, Count = 1
float -> ;: Probability = 0.00, Count = 1
float -> i: Probability = 0.00, Count = 1
float -> xMid: Probability = 0.00, Count = 1
float -> yMin: Probability = 0.00, Count = 1
float -> cy: Probability = 0.00, Count = 1
float -> y: Probability = 0.00, Count = 1
float -> dw: Probability = 0.00, Count = 1
float -> yMid: Probability = 0.00, Count = 1
float -> col: Probability = 0.00, Count = 1
float -> cx: Probability = 0.00, Count = 1
float -> (: Probability = 0.00, Count = 1
float -> Delta: Probability = 0.00, Count = 1
float -> delta: Probability = 0.00, Count = 1
float -> x2: Probability = 0.00, Count = 1
float -> xMin: Probability = 0.00, Count = 1
scale -> scale: Probability = 0.56, Count = 5
scale -> ;: Probability = 0.11, Count = 1
scale -> x: Probability = 0.11, Count = 1
scale -> [: Probability = 0.22, Count = 2
N -> N: Probability = 0.66, Count = 45
N -> =: Probability = 0.06, Count = 4
N -> n: Probability = 0.06, Count = 4
N -> ;: Probability = 0.03, Count = 2
N -> ): Probability = 0.03, Count = 2
N -> &: Probability = 0.01, Count = 1
N -> +: Probability = 0.09, Count = 6
N -> O: Probability = 0.01, Count = 1
N -> ]: Probability = 0.01, Count = 1
N -> column: Probability = 0.01, Count = 1
N -> [: Probability = 0.01, Count = 1
