) -> ): Probability = 0.36, Count = 512
split -> split: Probability = 0.05, Count = 10
split -> Double: Probability = 0.01, Count = 1
split -> close: Probability = 0.03, Count = 6
split -> Arrays: Probability = 0.01, Count = 1
split -> .: Probability = 0.15, Count = 27
split -> next: Probability = 0.01, Count = 2
split -> run: Probability = 0.03, Count = 6
split -> (: Probability = 0.13, Count = 24
split -> set: Probability = 0.01, Count = 1
split -> System: Probability = 0.01, Count = 2
split -> nextInt: Probability = 0.15, Count = 28
split -> nextLong: Probability = 0.11, Count = 20
split -> InputStreamReader: Probability = 0.01, Count = 1
split -> BufferedReader: Probability = 0.01, Count = 1
split -> println: Probability = 0.01, Count = 2
split -> Math: Probability = 0.01, Count = 1
split -> 1: Probability = 0.01, Count = 1
split -> StringTokenizer: Probability = 0.01, Count = 1
split -> d: Probability = 0.01, Count = 1
split -> public: Probability = 0.01, Count = 1
split -> :: Probability = 0.01, Count = 1
split -> readLine: Probability = 0.01, Count = 2
split -> Scanner: Probability = 0.01, Count = 1
split -> solver: Probability = 0.01, Count = 1
split -> return: Probability = 0.01, Count = 1
split -> itr: Probability = 0.01, Count = 1
split -> null: Probability = 0.01, Count = 1
split -> =: Probability = 0.01, Count = 2
split -> lang: Probability = 0.02, Count = 3
split -> }: Probability = 0.01, Count = 1
split -> flush: Probability = 0.01, Count = 1
split -> solve: Probability = 0.01, Count = 1
split -> max: Probability = 0.01, Count = 1
split -> N: Probability = 0.01, Count = 1
range -> Scanner: Probability = 0.06, Count = 8
range -> range: Probability = 0.01, Count = 1
range -> i: Probability = 0.03, Count = 4
range -> <: Probability = 0.03, Count = 4
range -> ;: Probability = 0.04, Count = 5
range -> (: Probability = 0.11, Count = 15
range -> length: Probability = 0.02, Count = 2
range -> nextInt: Probability = 0.15, Count = 19
range -> scanner: Probability = 0.03, Count = 4
range -> .: Probability = 0.08, Count = 11
range -> 0: Probability = 0.03, Count = 4
range -> dp: Probability = 0.02, Count = 2
range -> n: Probability = 0.02, Count = 2
range -> =: Probability = 0.04, Count = 5
range -> -: Probability = 0.01, Count = 1
range -> sc: Probability = 0.05, Count = 7
range -> h: Probability = 0.01, Count = 1
range -> resident: Probability = 0.02, Count = 2
range -> parseInt: Probability = 0.01, Count = 1
range -> String: Probability = 0.02, Count = 3
range -> [: Probability = 0.02, Count = 2
range -> 5: Probability = 0.01, Count = 1
range -> java: Probability = 0.01, Count = 1
range -> left: Probability = 0.01, Count = 1
range -> {: Probability = 0.01, Count = 1
range -> long: Probability = 0.02, Count = 2
range -> nextLong: Probability = 0.01, Count = 1
range -> scan: Probability = 0.01, Count = 1
range -> ): Probability = 0.03, Count = 4
range -> for: Probability = 0.02, Count = 2
range -> int: Probability = 0.02, Count = 3
range -> out: Probability = 0.01, Count = 1
range -> run: Probability = 0.01, Count = 1
range -> list: Probability = 0.01, Count = 1
range -> map: Probability = 0.01, Count = 1
range -> +: Probability = 0.01, Count = 1
range -> j: Probability = 0.01, Count = 1
range -> ]: Probability = 0.02, Count = 2
range -> System: Probability = 0.01, Count = 1
range -> public: Probability = 0.01, Count = 1
range -> d: Probability = 0.01, Count = 1
- -> [: Probability = 0.06, Count = 17
- -> &: Probability = 0.01, Count = 2
- -> ]: Probability = 0.05, Count = 13
- -> +: Probability = 0.04, Count = 11
- -> false: Probability = 0.00, Count = 1
- -> ;: Probability = 0.03, Count = 9
- -> =: Probability = 0.05, Count = 14
- -> 10: Probability = 0.00, Count = 1
- -> Integer: Probability = 0.00, Count = 1
- -> 1: Probability = 0.02, Count = 5
- -> int: Probability = 0.01, Count = 4
- -> n: Probability = 0.04, Count = 10
- -> 2: Probability = 0.01, Count = 2
- -> k: Probability = 0.01, Count = 3
- -> {: Probability = 0.02, Count = 6
- -> ,: Probability = 0.01, Count = 2
- -> -: Probability = 0.12, Count = 32
- -> (: Probability = 0.07, Count = 19
- -> max: Probability = 0.00, Count = 1
- -> }: Probability = 0.02, Count = 6
- -> Math: Probability = 0.01, Count = 3
- -> i: Probability = 0.02, Count = 6
- -> j: Probability = 0.02, Count = 6
- -> >: Probability = 0.01, Count = 2
- -> ans: Probability = 0.00, Count = 1
- -> h: Probability = 0.00, Count = 1
- -> bf: Probability = 0.00, Count = 1
- -> b2: Probability = 0.00, Count = 1
- -> ): Probability = 0.06, Count = 17
- -> *: Probability = 0.01, Count = 4
- -> t2: Probability = 0.00, Count = 1
- -> b1: Probability = 0.00, Count = 1
- -> if: Probability = 0.01, Count = 2
- -> .: Probability = 0.03, Count = 9
- -> min: Probability = 0.00, Count = 1
- -> m: Probability = 0.01, Count = 2
- -> 4: Probability = 0.01, Count = 2
- -> a: Probability = 0.01, Count = 2
- -> add: Probability = 0.00, Count = 1
- -> x: Probability = 0.01, Count = 4
- -> <: Probability = 0.03, Count = 8
- -> now: Probability = 0.00, Count = 1
- -> hour: Probability = 0.00, Count = 1
- -> b: Probability = 0.00, Count = 1
- -> perm: Probability = 0.00, Count = 1
- -> 0: Probability = 0.01, Count = 4
- -> N: Probability = 0.01, Count = 3
- -> odd1st: Probability = 0.00, Count = 1
- -> max1_2v: Probability = 0.01, Count = 2
- -> maxEven: Probability = 0.00, Count = 1
- -> vE: Probability = 0.00, Count = 1
- -> t: Probability = 0.00, Count = 1
- -> get: Probability = 0.01, Count = 2
- -> list: Probability = 0.00, Count = 1
- -> while: Probability = 0.00, Count = 1
- -> for: Probability = 0.01, Count = 2
- -> java: Probability = 0.01, Count = 2
- -> sb: Probability = 0.00, Count = 1
- -> BufferedReader: Probability = 0.01, Count = 2
- -> Double: Probability = 0.00, Count = 1
- -> leave: Probability = 0.01, Count = 2
- -> curcan: Probability = 0.00, Count = 1
- -> long: Probability = 0.00, Count = 1
print -> ;: Probability = 0.06, Count = 13
print -> {: Probability = 0.03, Count = 7
print -> ": Probability = 0.04, Count = 8
print -> }: Probability = 0.05, Count = 11
print -> ]: Probability = 0.01, Count = 2
print -> solve: Probability = 0.00, Count = 1
print -> println: Probability = 0.10, Count = 22
print -> System: Probability = 0.05, Count = 10
print -> .: Probability = 0.19, Count = 41
print -> S: Probability = 0.00, Count = 1
print -> (: Probability = 0.09, Count = 19
print -> ): Probability = 0.03, Count = 6
print -> else: Probability = 0.01, Count = 2
print -> import: Probability = 0.01, Count = 3
print -> :: Probability = 0.01, Count = 3
print -> 9: Probability = 0.00, Count = 1
print -> out: Probability = 0.05, Count = 11
print -> public: Probability = 0.00, Count = 1
print -> 1: Probability = 0.01, Count = 3
print -> parseInt: Probability = 0.00, Count = 1
print -> |: Probability = 0.00, Count = 1
print -> %: Probability = 0.00, Count = 1
print -> long: Probability = 0.01, Count = 2
print -> =: Probability = 0.03, Count = 6
print -> -: Probability = 0.01, Count = 2
print -> 3500: Probability = 0.00, Count = 1
print -> left: Probability = 0.00, Count = 1
print -> 0: Probability = 0.01, Count = 3
print -> static: Probability = 0.00, Count = 1
print -> Math: Probability = 0.01, Count = 3
print -> M: Probability = 0.00, Count = 1
print -> new: Probability = 0.00, Count = 1
print -> 5: Probability = 0.00, Count = 1
print -> sqrt: Probability = 0.00, Count = 1
print -> i: Probability = 0.01, Count = 2
print -> min: Probability = 0.00, Count = 1
print -> ans: Probability = 0.01, Count = 2
print -> if: Probability = 0.00, Count = 1
print -> return: Probability = 0.00, Count = 1
print -> [: Probability = 0.00, Count = 1
print -> +: Probability = 0.01, Count = 2
print -> n: Probability = 0.00, Count = 1
print -> show: Probability = 0.00, Count = 1
print -> A: Probability = 0.00, Count = 1
print -> j: Probability = 0.00, Count = 1
print -> Integer: Probability = 0.01, Count = 2
print -> mean: Probability = 0.00, Count = 1
print -> 4: Probability = 0.00, Count = 1
print -> add: Probability = 0.00, Count = 1
print -> get: Probability = 0.00, Count = 1
print -> b: Probability = 0.00, Count = 1
j -> ]: Probability = 0.07, Count = 6
j -> int: Probability = 0.05, Count = 4
j -> !: Probability = 0.03, Count = 3
j -> 0: Probability = 0.01, Count = 1
j -> if: Probability = 0.02, Count = 2
j -> top: Probability = 0.01, Count = 1
j -> break: Probability = 0.01, Count = 1
j -> ;: Probability = 0.05, Count = 4
j -> ): Probability = 0.07, Count = 6
j -> i: Probability = 0.05, Count = 4
j -> abs: Probability = 0.01, Count = 1
j -> m: Probability = 0.01, Count = 1
j -> return: Probability = 0.01, Count = 1
j -> 1: Probability = 0.02, Count = 2
j -> dp: Probability = 0.01, Count = 1
j -> +: Probability = 0.02, Count = 2
j -> hade: Probability = 0.01, Count = 1
j -> >: Probability = 0.01, Count = 1
j -> showy: Probability = 0.01, Count = 1
j -> (: Probability = 0.03, Count = 3
j -> Math: Probability = 0.01, Count = 1
j -> .: Probability = 0.02, Count = 2
j -> for: Probability = 0.02, Count = 2
j -> =: Probability = 0.08, Count = 7
j -> j: Probability = 0.05, Count = 4
j -> {: Probability = 0.02, Count = 2
j -> -: Probability = 0.01, Count = 1
j -> *: Probability = 0.01, Count = 1
j -> x: Probability = 0.01, Count = 1
j -> sc: Probability = 0.02, Count = 2
j -> <: Probability = 0.02, Count = 2
j -> N: Probability = 0.03, Count = 3
j -> h: Probability = 0.01, Count = 1
j -> c: Probability = 0.01, Count = 1
j -> else: Probability = 0.01, Count = 1
j -> ,: Probability = 0.01, Count = 1
j -> n: Probability = 0.01, Count = 1
j -> k: Probability = 0.01, Count = 1
j -> [: Probability = 0.01, Count = 1
j -> list: Probability = 0.02, Count = 2
j -> InputStreamReader: Probability = 0.01, Count = 1
j -> ': Probability = 0.01, Count = 1
j -> out: Probability = 0.01, Count = 1
j -> args: Probability = 0.01, Count = 1
x -> 1: Probability = 0.03, Count = 4
x -> out: Probability = 0.01, Count = 1
x -> (: Probability = 0.07, Count = 8
x -> =: Probability = 0.07, Count = 9
x -> +: Probability = 0.07, Count = 9
x -> [: Probability = 0.01, Count = 1
x -> if: Probability = 0.03, Count = 4
x -> ): Probability = 0.04, Count = 5
x -> ;: Probability = 0.03, Count = 4
x -> n: Probability = 0.02, Count = 2
x -> x: Probability = 0.14, Count = 17
x -> z: Probability = 0.01, Count = 1
x -> {: Probability = 0.06, Count = 7
x -> y: Probability = 0.01, Count = 1
x -> i: Probability = 0.03, Count = 4
x -> ]: Probability = 0.04, Count = 5
x -> 2: Probability = 0.01, Count = 1
x -> >: Probability = 0.01, Count = 1
x -> numberOfTypes: Probability = 0.01, Count = 1
x -> Math: Probability = 0.02, Count = 2
x -> -: Probability = 0.01, Count = 1
x -> k: Probability = 0.01, Count = 1
x -> xk: Probability = 0.01, Count = 1
x -> }: Probability = 0.02, Count = 3
x -> 0: Probability = 0.03, Count = 4
x -> .: Probability = 0.02, Count = 3
x -> vE: Probability = 0.01, Count = 1
x -> d: Probability = 0.01, Count = 1
x -> <: Probability = 0.01, Count = 1
x -> java: Probability = 0.01, Count = 1
x -> util: Probability = 0.01, Count = 1
x -> num: Probability = 0.02, Count = 2
x -> a: Probability = 0.06, Count = 7
x -> X: Probability = 0.01, Count = 1
x -> b: Probability = 0.02, Count = 3
x -> else: Probability = 0.01, Count = 1
x -> ,: Probability = 0.02, Count = 2
. -> .: Probability = 0.50, Count = 279
. -> =: Probability = 0.03, Count = 19
. -> Collectors: Probability = 0.00, Count = 2
. -> Scanner: Probability = 0.02, Count = 10
. -> nextInt: Probability = 0.03, Count = 16
. -> scanner: Probability = 0.00, Count = 2
. -> out: Probability = 0.01, Count = 4
. -> long: Probability = 0.00, Count = 2
. -> a: Probability = 0.01, Count = 3
. -> sc: Probability = 0.05, Count = 27
. -> ]: Probability = 0.01, Count = 5
. -> 1: Probability = 0.00, Count = 2
. -> 3: Probability = 0.00, Count = 1
. -> ArrayList: Probability = 0.00, Count = 1
. -> ,: Probability = 0.01, Count = 3
. -> util: Probability = 0.01, Count = 5
. -> {: Probability = 0.01, Count = 7
. -> size: Probability = 0.00, Count = 1
. -> ;: Probability = 0.02, Count = 10
. -> str: Probability = 0.00, Count = 1
. -> (: Probability = 0.06, Count = 31
. -> br: Probability = 0.00, Count = 1
. -> ": Probability = 0.00, Count = 2
. -> nextLong: Probability = 0.01, Count = 7
. -> }: Probability = 0.01, Count = 3
. -> +: Probability = 0.01, Count = 3
. -> 0: Probability = 0.00, Count = 2
. -> ): Probability = 0.03, Count = 18
. -> Arrays: Probability = 0.01, Count = 3
. -> Long: Probability = 0.00, Count = 1
. -> ans: Probability = 0.00, Count = 1
. -> Integer: Probability = 0.01, Count = 4
. -> main: Probability = 0.00, Count = 2
. -> try: Probability = 0.00, Count = 1
. -> mod: Probability = 0.00, Count = 2
. -> StringTokenizer: Probability = 0.00, Count = 1
. -> BufferedOutputStream: Probability = 0.00, Count = 1
. -> Double: Probability = 0.00, Count = 1
. -> %: Probability = 0.00, Count = 1
. -> p: Probability = 0.01, Count = 3
. -> System: Probability = 0.00, Count = 1
. -> close: Probability = 0.00, Count = 2
. -> *: Probability = 0.01, Count = 3
. -> YES: Probability = 0.00, Count = 1
. -> 2: Probability = 0.00, Count = 1
. -> abs: Probability = 0.00, Count = 1
. -> dy: Probability = 0.00, Count = 2
. -> double: Probability = 0.00, Count = 1
. -> aPosition: Probability = 0.00, Count = 1
. -> 5: Probability = 0.00, Count = 1
. -> if: Probability = 0.00, Count = 2
. -> &: Probability = 0.00, Count = 1
. -> <: Probability = 0.00, Count = 2
. -> for: Probability = 0.00, Count = 1
. -> break: Probability = 0.00, Count = 1
. -> in: Probability = 0.00, Count = 1
. -> set: Probability = 0.00, Count = 1
. -> [: Probability = 0.01, Count = 5
. -> st: Probability = 0.00, Count = 1
. -> all: Probability = 0.00, Count = 1
. -> min: Probability = 0.00, Count = 2
. -> flush: Probability = 0.00, Count = 1
. -> s: Probability = 0.00, Count = 1
. -> j: Probability = 0.00, Count = 1
. -> maxNumOdd: Probability = 0.01, Count = 3
. -> sort: Probability = 0.00, Count = 1
. -> n: Probability = 0.00, Count = 1
. -> reader: Probability = 0.00, Count = 1
. -> parseInt: Probability = 0.00, Count = 2
. -> best: Probability = 0.00, Count = 1
. -> i: Probability = 0.01, Count = 3
. -> append: Probability = 0.00, Count = 1
. -> run: Probability = 0.00, Count = 1
. -> solve: Probability = 0.00, Count = 1
. -> 100: Probability = 0.00, Count = 1
. -> println: Probability = 0.00, Count = 1
. -> \: Probability = 0.00, Count = 1
. -> dirleft: Probability = 0.00, Count = 1
. -> return: Probability = 0.00, Count = 1
. -> scan: Probability = 0.01, Count = 4
. -> x: Probability = 0.00, Count = 1
. -> same: Probability = 0.00, Count = 1
. -> d: Probability = 0.00, Count = 1
. -> list: Probability = 0.01, Count = 3
. -> idx: Probability = 0.01, Count = 3
No -> ]: Probability = 0.12, Count = 1
No -> System: Probability = 0.12, Count = 1
No -> ;: Probability = 0.12, Count = 1
No -> }: Probability = 0.12, Count = 1
No -> (: Probability = 0.12, Count = 1
No -> .: Probability = 0.12, Count = 1
No -> else: Probability = 0.12, Count = 1
No -> judge: Probability = 0.12, Count = 1
C -> ;: Probability = 0.10, Count = 2
C -> ]: Probability = 0.10, Count = 2
C -> c: Probability = 0.05, Count = 1
C -> C: Probability = 0.10, Count = 2
C -> ): Probability = 0.05, Count = 1
C -> +: Probability = 0.05, Count = 1
C -> .: Probability = 0.05, Count = 1
C -> (: Probability = 0.05, Count = 1
C -> b1: Probability = 0.05, Count = 1
C -> distanceInT2: Probability = 0.05, Count = 1
C -> a2: Probability = 0.05, Count = 1
C -> println: Probability = 0.05, Count = 1
C -> distanceInT1: Probability = 0.05, Count = 1
C -> <: Probability = 0.05, Count = 1
C -> [: Probability = 0.05, Count = 1
C -> >: Probability = 0.05, Count = 1
C -> int: Probability = 0.05, Count = 1
! -> a2: Probability = 0.03, Count = 1
! -> r: Probability = 0.03, Count = 1
! -> !: Probability = 0.03, Count = 1
! -> ]: Probability = 0.20, Count = 6
! -> +: Probability = 0.07, Count = 2
! -> .: Probability = 0.03, Count = 1
! -> out: Probability = 0.03, Count = 1
! -> Yay: Probability = 0.03, Count = 1
! -> =: Probability = 0.13, Count = 4
! -> {: Probability = 0.07, Count = 2
! -> 0: Probability = 0.07, Count = 2
! -> ;: Probability = 0.10, Count = 3
! -> if: Probability = 0.03, Count = 1
! -> cnt1: Probability = 0.03, Count = 1
! -> max0_2: Probability = 0.03, Count = 1
! -> <: Probability = 0.03, Count = 1
! -> -: Probability = 0.03, Count = 1
c3 -> ]: Probability = 0.50, Count = 2
c3 -> [: Probability = 0.25, Count = 1
c3 -> 1: Probability = 0.25, Count = 1
cnt -> sum: Probability = 0.08, Count = 1
cnt -> out: Probability = 0.08, Count = 1
cnt -> ;: Probability = 0.08, Count = 1
cnt -> ]: Probability = 0.08, Count = 1
cnt -> int: Probability = 0.17, Count = 2
cnt -> sc: Probability = 0.08, Count = 1
cnt -> t: Probability = 0.08, Count = 1
cnt -> minDistance: Probability = 0.08, Count = 1
cnt -> Exception: Probability = 0.08, Count = 1
cnt -> while: Probability = 0.08, Count = 1
cnt -> <: Probability = 0.08, Count = 1
" -> .: Probability = 0.09, Count = 7
" -> ): Probability = 0.10, Count = 8
" -> {: Probability = 0.05, Count = 4
" -> }: Probability = 0.01, Count = 1
" -> int: Probability = 0.01, Count = 1
" -> false: Probability = 0.01, Count = 1
" -> System: Probability = 0.05, Count = 4
" -> out: Probability = 0.05, Count = 4
" -> 1: Probability = 0.01, Count = 1
" -> (: Probability = 0.10, Count = 8
" -> print: Probability = 0.01, Count = 1
" -> ": Probability = 0.10, Count = 8
" -> ;: Probability = 0.04, Count = 3
" -> Three: Probability = 0.03, Count = 2
" -> :: Probability = 0.03, Count = 2
" -> in: Probability = 0.01, Count = 1
" -> n: Probability = 0.01, Count = 1
" -> println: Probability = 0.04, Count = 3
" -> equals: Probability = 0.01, Count = 1
" -> append: Probability = 0.01, Count = 1
" -> =: Probability = 0.05, Count = 4
" -> Yay: Probability = 0.01, Count = 1
" -> Scanner: Probability = 0.01, Count = 1
" -> 5: Probability = 0.01, Count = 1
" -> if: Probability = 0.01, Count = 1
" -> ]: Probability = 0.04, Count = 3
" -> [: Probability = 0.03, Count = 2
" -> time: Probability = 0.01, Count = 1
" -> N: Probability = 0.01, Count = 1
" -> hhmm: Probability = 0.01, Count = 1
" -> t: Probability = 0.01, Count = 1
c1 -> [: Probability = 0.09, Count = 1
c1 -> sum: Probability = 0.18, Count = 2
c1 -> =: Probability = 0.18, Count = 2
c1 -> 0: Probability = 0.09, Count = 1
c1 -> j: Probability = 0.09, Count = 1
c1 -> c: Probability = 0.09, Count = 1
c1 -> >: Probability = 0.09, Count = 1
c1 -> ,: Probability = 0.09, Count = 1
c1 -> (: Probability = 0.09, Count = 1
2 -> [: Probability = 0.06, Count = 7
2 -> ;: Probability = 0.15, Count = 19
2 -> ]: Probability = 0.02, Count = 3
2 -> +: Probability = 0.05, Count = 6
2 -> 3: Probability = 0.01, Count = 1
2 -> int: Probability = 0.02, Count = 2
2 -> 1: Probability = 0.03, Count = 4
2 -> =: Probability = 0.06, Count = 8
2 -> *: Probability = 0.08, Count = 10
2 -> 2: Probability = 0.08, Count = 10
2 -> ): Probability = 0.06, Count = 7
2 -> (: Probability = 0.04, Count = 5
2 -> abs: Probability = 0.02, Count = 2
2 -> t1: Probability = 0.01, Count = 1
2 -> .: Probability = 0.02, Count = 3
2 -> <: Probability = 0.02, Count = 3
2 -> }: Probability = 0.02, Count = 2
2 -> ans: Probability = 0.01, Count = 1
2 -> a: Probability = 0.02, Count = 2
2 -> ,: Probability = 0.01, Count = 1
2 -> 5: Probability = 0.01, Count = 1
2 -> Math: Probability = 0.01, Count = 1
2 -> 60: Probability = 0.01, Count = 1
2 -> b: Probability = 0.02, Count = 3
2 -> n: Probability = 0.01, Count = 1
2 -> if: Probability = 0.01, Count = 1
2 -> %: Probability = 0.01, Count = 1
2 -> /: Probability = 0.03, Count = 4
2 -> N: Probability = 0.03, Count = 4
2 -> vEven: Probability = 0.01, Count = 1
2 -> vE: Probability = 0.01, Count = 1
2 -> vO: Probability = 0.01, Count = 1
2 -> 10000: Probability = 0.01, Count = 1
2 -> bmi: Probability = 0.01, Count = 1
2 -> res: Probability = 0.01, Count = 1
2 -> an: Probability = 0.01, Count = 1
2 -> curcan: Probability = 0.01, Count = 1
2 -> else: Probability = 0.02, Count = 2
list -> new: Probability = 0.29, Count = 23
list -> try: Probability = 0.05, Count = 4
list -> Main: Probability = 0.09, Count = 7
list -> main: Probability = 0.05, Count = 4
list -> }: Probability = 0.03, Count = 2
list -> set: Probability = 0.03, Count = 2
list -> nextInt: Probability = 0.01, Count = 1
list -> Scanner: Probability = 0.12, Count = 10
list -> (: Probability = 0.05, Count = 4
list -> ): Probability = 0.04, Count = 3
list -> >: Probability = 0.01, Count = 1
list -> i: Probability = 0.03, Count = 2
list -> ret: Probability = 0.01, Count = 1
list -> List: Probability = 0.05, Count = 4
list -> long: Probability = 0.01, Count = 1
list -> k: Probability = 0.01, Count = 1
list -> for: Probability = 0.01, Count = 1
list -> ;: Probability = 0.01, Count = 1
list -> BufferedReader: Probability = 0.03, Count = 2
list -> sc: Probability = 0.01, Count = 1
list -> array: Probability = 0.01, Count = 1
list -> char: Probability = 0.01, Count = 1
list -> Math: Probability = 0.01, Count = 1
list -> <: Probability = 0.01, Count = 1
list -> N: Probability = 0.01, Count = 1
1 -> =: Probability = 0.06, Count = 19
1 -> System: Probability = 0.02, Count = 5
1 -> /: Probability = 0.00, Count = 1
1 -> [: Probability = 0.03, Count = 11
1 -> +: Probability = 0.05, Count = 16
1 -> N: Probability = 0.01, Count = 2
1 -> a2: Probability = 0.00, Count = 1
1 -> ]: Probability = 0.03, Count = 11
1 -> -: Probability = 0.05, Count = 17
1 -> k: Probability = 0.01, Count = 2
1 -> br: Probability = 0.00, Count = 1
1 -> }: Probability = 0.04, Count = 12
1 -> 10: Probability = 0.01, Count = 2
1 -> ;: Probability = 0.05, Count = 15
1 -> nums: Probability = 0.00, Count = 1
1 -> idx: Probability = 0.00, Count = 1
1 -> .: Probability = 0.03, Count = 10
1 -> 1: Probability = 0.08, Count = 24
1 -> InputStreamReader: Probability = 0.00, Count = 1
1 -> reader: Probability = 0.00, Count = 1
1 -> (: Probability = 0.04, Count = 14
1 -> max: Probability = 0.01, Count = 2
1 -> i: Probability = 0.02, Count = 5
1 -> count: Probability = 0.01, Count = 2
1 -> o: Probability = 0.00, Count = 1
1 -> out: Probability = 0.02, Count = 6
1 -> ,: Probability = 0.01, Count = 3
1 -> contains: Probability = 0.00, Count = 1
1 -> ): Probability = 0.05, Count = 16
1 -> &: Probability = 0.01, Count = 3
1 -> dp: Probability = 0.01, Count = 2
1 -> dp1: Probability = 0.00, Count = 1
1 -> j: Probability = 0.01, Count = 2
1 -> T: Probability = 0.01, Count = 2
1 -> B: Probability = 0.00, Count = 1
1 -> else: Probability = 0.01, Count = 2
1 -> d2: Probability = 0.01, Count = 2
1 -> >: Probability = 0.01, Count = 3
1 -> c2: Probability = 0.00, Count = 1
1 -> a: Probability = 0.02, Count = 6
1 -> n: Probability = 0.01, Count = 4
1 -> *: Probability = 0.01, Count = 3
1 -> long: Probability = 0.01, Count = 2
1 -> {: Probability = 0.01, Count = 3
1 -> for: Probability = 0.02, Count = 5
1 -> b: Probability = 0.00, Count = 1
1 -> over: Probability = 0.00, Count = 1
1 -> plus: Probability = 0.00, Count = 1
1 -> if: Probability = 0.02, Count = 5
1 -> 0: Probability = 0.01, Count = 3
1 -> Math: Probability = 0.00, Count = 1
1 -> <: Probability = 0.03, Count = 9
1 -> ans: Probability = 0.01, Count = 2
1 -> p: Probability = 0.00, Count = 1
1 -> Long: Probability = 0.00, Count = 1
1 -> x: Probability = 0.01, Count = 2
1 -> stdin: Probability = 0.00, Count = 1
1 -> nextLong: Probability = 0.00, Count = 1
1 -> %: Probability = 0.00, Count = 1
1 -> YES: Probability = 0.00, Count = 1
1 -> 3: Probability = 0.01, Count = 2
1 -> rec: Probability = 0.00, Count = 1
1 -> new: Probability = 0.01, Count = 2
1 -> q: Probability = 0.00, Count = 1
1 -> 11: Probability = 0.00, Count = 1
1 -> int: Probability = 0.02, Count = 5
1 -> res: Probability = 0.00, Count = 1
1 -> M: Probability = 0.00, Count = 1
1 -> evenCount: Probability = 0.01, Count = 4
1 -> oddCount: Probability = 0.00, Count = 1
1 -> ?: Probability = 0.01, Count = 2
1 -> 100010: Probability = 0.01, Count = 2
1 -> nextInt: Probability = 0.01, Count = 2
1 -> maxp: Probability = 0.00, Count = 1
1 -> mean: Probability = 0.00, Count = 1
1 -> stdIn: Probability = 0.00, Count = 1
1 -> get: Probability = 0.00, Count = 1
1 -> list: Probability = 0.00, Count = 1
1 -> !: Probability = 0.00, Count = 1
1 -> bArr: Probability = 0.00, Count = 1
1 -> aArr: Probability = 0.00, Count = 1
1 -> xx: Probability = 0.00, Count = 1
1 -> m: Probability = 0.00, Count = 1
1 -> substring: Probability = 0.01, Count = 2
1 -> u: Probability = 0.00, Count = 1
1 -> s: Probability = 0.00, Count = 1
1 -> K: Probability = 0.00, Count = 1
1 -> dirright: Probability = 0.00, Count = 1
1 -> parent: Probability = 0.00, Count = 1
+ -> ): Probability = 0.06, Count = 17
+ -> c: Probability = 0.00, Count = 1
+ -> -: Probability = 0.03, Count = 9
+ -> *: Probability = 0.01, Count = 4
+ -> =: Probability = 0.07, Count = 20
+ -> out: Probability = 0.01, Count = 2
+ -> int: Probability = 0.03, Count = 7
+ -> ]: Probability = 0.03, Count = 9
+ -> ;: Probability = 0.09, Count = 25
+ -> a: Probability = 0.01, Count = 2
+ -> }: Probability = 0.02, Count = 5
+ -> A: Probability = 0.01, Count = 2
+ -> >: Probability = 0.00, Count = 1
+ -> {: Probability = 0.03, Count = 8
+ -> ans: Probability = 0.01, Count = 2
+ -> next: Probability = 0.00, Count = 1
+ -> println: Probability = 0.01, Count = 2
+ -> &: Probability = 0.02, Count = 5
+ -> z: Probability = 0.00, Count = 1
+ -> +: Probability = 0.06, Count = 17
+ -> x: Probability = 0.02, Count = 5
+ -> s: Probability = 0.00, Count = 1
+ -> i: Probability = 0.05, Count = 15
+ -> 2: Probability = 0.01, Count = 2
+ -> (: Probability = 0.04, Count = 12
+ -> H: Probability = 0.00, Count = 1
+ -> top: Probability = 0.00, Count = 1
+ -> <: Probability = 0.02, Count = 6
+ -> b1: Probability = 0.01, Count = 2
+ -> a1: Probability = 0.00, Count = 1
+ -> a2: Probability = 0.00, Count = 1
+ -> j: Probability = 0.01, Count = 4
+ -> ": Probability = 0.01, Count = 2
+ -> 5: Probability = 0.00, Count = 1
+ -> System: Probability = 0.01, Count = 2
+ -> while: Probability = 0.00, Count = 1
+ -> get: Probability = 0.01, Count = 2
+ -> n: Probability = 0.01, Count = 4
+ -> min: Probability = 0.00, Count = 1
+ -> tmp: Probability = 0.01, Count = 2
+ -> 7: Probability = 0.01, Count = 2
+ -> mod: Probability = 0.00, Count = 1
+ -> 1000000007: Probability = 0.01, Count = 3
+ -> cnt: Probability = 0.00, Count = 1
+ -> long: Probability = 0.00, Count = 1
+ -> if: Probability = 0.01, Count = 3
+ -> b: Probability = 0.01, Count = 2
+ -> cos: Probability = 0.00, Count = 1
+ -> 0: Probability = 0.02, Count = 5
+ -> double: Probability = 0.00, Count = 1
+ -> [: Probability = 0.03, Count = 8
+ -> 60: Probability = 0.01, Count = 2
+ -> masked: Probability = 0.01, Count = 3
+ -> 1: Probability = 0.01, Count = 3
+ -> sc: Probability = 0.00, Count = 1
+ -> |: Probability = 0.00, Count = 1
+ -> .: Probability = 0.01, Count = 3
+ -> m: Probability = 0.01, Count = 3
+ -> ii: Probability = 0.01, Count = 2
+ -> substring: Probability = 0.00, Count = 1
+ -> even2nd: Probability = 0.00, Count = 1
+ -> even1st: Probability = 0.00, Count = 1
+ -> evenCount: Probability = 0.00, Count = 1
